stopwords_removed,unigrams_mlbb
"['buruk', 'update', 'yng', 'sekarang', 'buruk', 'offline', 'pass', 'masuk', 'pilih', 'mulai', 'tulis', 'gitu', 'pass', 'pencet', 'oke', 'mulai', 'sendiri', 'lag', 'keluar', 'sendiri', 'baik', 'pliss', 'maaf', 'rate', 'cuma', 'dua', 'bintang', 'baik', 'terimakasih', 'maaf', 'terlalu', 'panjang']","[('buruk',), ('update',), ('yng',), ('sekarang',), ('buruk',), ('offline',), ('pass',), ('masuk',), ('pilih',), ('mulai',), ('tulis',), ('gitu',), ('pass',), ('pencet',), ('oke',), ('mulai',), ('sendiri',), ('lag',), ('keluar',), ('sendiri',), ('baik',), ('pliss',), ('maaf',), ('rate',), ('cuma',), ('dua',), ('bintang',), ('baik',), ('terimakasih',), ('maaf',), ('terlalu',), ('panjang',)]"
['otak'],"[('otak',)]"
"['gblk', 'beri', 'gaperna', 'benar', 'mm', 'anjg']","[('gblk',), ('beri',), ('gaperna',), ('benar',), ('mm',), ('anjg',)]"
"['lumayan', 'ngendali', 'pasti', 'seru', 'lawan', 'computer', 'maksud', 'skin', 'gratis', 'rendom']","[('lumayan',), ('ngendali',), ('pasti',), ('seru',), ('lawan',), ('computer',), ('maksud',), ('skin',), ('gratis',), ('rendom',)]"
"['buruk', 'banyak', 'cheater', 'tambah', 'tambah', 'jelek', 'kurang', 'bagus', 'sengaja', 'bintang', 'otw', 'uninstal']","[('buruk',), ('banyak',), ('cheater',), ('tambah',), ('tambah',), ('jelek',), ('kurang',), ('bagus',), ('sengaja',), ('bintang',), ('otw',), ('uninstal',)]"
"['makingg', 'adil', 'massa', 'ketemu', 'legenda', 'dmna', 'letak', 'adil', 'dri', 'dlu', 'smpee', 'skrngg', 'kya', 'gth', 'aneh']","[('makingg',), ('adil',), ('massa',), ('ketemu',), ('legenda',), ('dmna',), ('letak',), ('adil',), ('dri',), ('dlu',), ('smpee',), ('skrngg',), ('kya',), ('gth',), ('aneh',)]"
['mengibur'],"[('mengibur',)]"
"['perbaikin', 'terlalu', 'delaylag', 'padalan', 'bagus']","[('perbaikin',), ('terlalu',), ('delaylag',), ('padalan',), ('bagus',)]"
"['stres', 'puyeng', 'satu', 'ujung', 'losetreak', 'trs']","[('stres',), ('puyeng',), ('satu',), ('ujung',), ('losetreak',), ('trs',)]"
"['epik', 'benar', 'lahh', 'ey', 'rusak', 'dongg', 'susah', 'kalah', 'lebih', 'baik', 'bintang', 'satu']","[('epik',), ('benar',), ('lahh',), ('ey',), ('rusak',), ('dongg',), ('susah',), ('kalah',), ('lebih',), ('baik',), ('bintang',), ('satu',)]"
"['bagus', 'bgtt', 'walaupun', 'lag', 'gatau', 'knp', 'wifi', 'bagus', 'win', 'kalah', 'lebih', 'win', 'gara', 'gara', 'bot', 'gitu', 'thanks']","[('bagus',), ('bgtt',), ('walaupun',), ('lag',), ('gatau',), ('knp',), ('wifi',), ('bagus',), ('win',), ('kalah',), ('lebih',), ('win',), ('gara',), ('gara',), ('bot',), ('gitu',), ('thanks',)]"
"['kontolo', 'memek']","[('kontolo',), ('memek',)]"
"['seru', 'banget']","[('seru',), ('banget',)]"
"['ubah', 'rang']","[('ubah',), ('rang',)]"
"['suka', 'banget', 'seru']","[('suka',), ('banget',), ('seru',)]"
"['terimakasih', 'teman', 'nin', 'pergi', 'lama', 'mu', 'lama', 'love', 'you', 'bye']","[('terimakasih',), ('teman',), ('nin',), ('pergi',), ('lama',), ('mu',), ('lama',), ('love',), ('you',), ('bye',)]"
['seru'],"[('seru',)]"
"['gg', 'coo', 'keren', 'mantap', 'lebih', 'keren', 'ff', 'awokawokawok']","[('gg',), ('coo',), ('keren',), ('mantap',), ('lebih',), ('keren',), ('ff',), ('awokawokawok',)]"
"['tolong', 'lawan']","[('tolong',), ('lawan',)]"
['tolol'],"[('tolol',)]"
"['rusak', 'bug', 'hijau', 'lag']","[('rusak',), ('bug',), ('hijau',), ('lag',)]"
"['maaf', 'motoon', 'inanilahi', 'mati', 'pensi', 'cpe', 'naik', 'trun', 'naik', 'trun', 'bismilah', 'mti']","[('maaf',), ('motoon',), ('inanilahi',), ('mati',), ('pensi',), ('cpe',), ('naik',), ('trun',), ('naik',), ('trun',), ('bismilah',), ('mti',)]"
"['minimal', 'lgi']","[('minimal',), ('lgi',)]"
"['tolol', 'musuh', 'susah', 'kasi', 'ws']","[('tolol',), ('musuh',), ('susah',), ('kasi',), ('ws',)]"
"['goblog', 'pusing']","[('goblog',), ('pusing',)]"
"['ramah', 'sombong']","[('ramah',), ('sombong',)]"
['lostrek'],"[('lostrek',)]"
"['hadeh', 'bayak', 'gelap', 'epik', 'gj', 'jelas', 'lus']","[('hadeh',), ('bayak',), ('gelap',), ('epik',), ('gj',), ('jelas',), ('lus',)]"
"['sang', 'at', 'bail', 'mi']","[('sang',), ('at',), ('bail',), ('mi',)]"
"['timgak', 'amin']","[('timgak',), ('amin',)]"
['bagus'],"[('bagus',)]"
"['mantap', 'sakuramba']","[('mantap',), ('sakuramba',)]"
"['pilih', 'anjg']","[('pilih',), ('anjg',)]"
"['sinyal', 'bagus', 'standart', 'kenapa', 'lag', 'akibat', 'hitung', 'afk', 'rugi', 'nyari', 'senang', 'stres']","[('sinyal',), ('bagus',), ('standart',), ('kenapa',), ('lag',), ('akibat',), ('hitung',), ('afk',), ('rugi',), ('nyari',), ('senang',), ('stres',)]"
"['kalah', 'gara', 'gara', 'jago', 'bae', 'musuh', 'drack', 'semua']","[('kalah',), ('gara',), ('gara',), ('jago',), ('bae',), ('musuh',), ('drack',), ('semua',)]"
['adil'],"[('adil',)]"
"['seru', 'banget']","[('seru',), ('banget',)]"
"['bagus', 'suka', 'makanya', 'jgn', 'bot', 'sudah', 'kg', 'bs', 'dongoo']","[('bagus',), ('suka',), ('makanya',), ('jgn',), ('bot',), ('sudah',), ('kg',), ('bs',), ('dongoo',)]"
"['susah', 'banget', 'masuk', 'makin', 'berat']","[('susah',), ('banget',), ('masuk',), ('makin',), ('berat',)]"
"['kalah', 'menang', 'sudah', 'biasa', 'kalah', 'tanpa', 'progress', 'sebal', 'baru', 'season', 'sekarang', 'alami', 'hal', 'your', 'gelap']","[('kalah',), ('menang',), ('sudah',), ('biasa',), ('kalah',), ('tanpa',), ('progress',), ('sebal',), ('baru',), ('season',), ('sekarang',), ('alami',), ('hal',), ('your',), ('gelap',)]"
['suka'],"[('suka',)]"
"['seru', 'senang', 'enak', 'dimainin', 'seru', 'banget', 'teman', 'seru', 'seru', 'seru', 'seru', 'seru', 'seru', 'seru', 'banget', 'lebih', 'seru', 'sonia', 'sun', 'sun', 'guys', 'usah', 'teman', 'lebih', 'seru', 'hujanhujanan', 'dimarahin', 'tuhan']","[('seru',), ('senang',), ('enak',), ('dimainin',), ('seru',), ('banget',), ('teman',), ('seru',), ('seru',), ('seru',), ('seru',), ('seru',), ('seru',), ('seru',), ('banget',), ('lebih',), ('seru',), ('sonia',), ('sun',), ('sun',), ('guys',), ('usah',), ('teman',), ('lebih',), ('seru',), ('hujanhujanan',), ('dimarahin',), ('tuhan',)]"
['kontl'],"[('kontl',)]"
"['cuma', 'fokus', 'event', 'tanpa', 'optimal', 'ubah', 'ui', 'cacat', 'serius', 'fokus', 'jual', 'merchandise', 'event', 'kikir']","[('cuma',), ('fokus',), ('event',), ('tanpa',), ('optimal',), ('ubah',), ('ui',), ('cacat',), ('serius',), ('fokus',), ('jual',), ('merchandise',), ('event',), ('kikir',)]"
"['stuck', 'baik', 'jg']","[('stuck',), ('baik',), ('jg',)]"
"['ngga', 'guna', 'ngga', 'pernah', 'beri', 'bangus']","[('ngga',), ('guna',), ('ngga',), ('pernah',), ('beri',), ('bangus',)]"
"['sinyal', 'bagus', 'gerak', 'ngentod', 'niat']","[('sinyal',), ('bagus',), ('gerak',), ('ngentod',), ('niat',)]"
"['seru', 'banyak', 'gelap', 'sytem', 'bintang', 'naik', 'legen', 'poke', 'musuh', 'top', 'globalpenjoki']","[('seru',), ('banyak',), ('gelap',), ('sytem',), ('bintang',), ('naik',), ('legen',), ('poke',), ('musuh',), ('top',), ('globalpenjoki',)]"
['jembut'],"[('jembut',)]"
['anjing'],"[('anjing',)]"
"['banyak', 'update', 'sinyal', 'server', 'urus', 'sinyal', 'bagus', 'lag']","[('banyak',), ('update',), ('sinyal',), ('server',), ('urus',), ('sinyal',), ('bagus',), ('lag',)]"
['bagus'],"[('bagus',)]"
