stopwords_removed,unigrams_mlbb
"['jelek', 'gelap']","[('jelek',), ('gelap',)]"
"['moontn', 'kyk', 't', 'lag', 'bett', 'hijau', 'dahh', 'ajaa', 'lahh']","[('moontn',), ('kyk',), ('t',), ('lag',), ('bett',), ('hijau',), ('dahh',), ('ajaa',), ('lahh',)]"
"['banyak', 'ramah', 'intimidasi', 'lebih', 'rendah']","[('banyak',), ('ramah',), ('intimidasi',), ('lebih',), ('rendah',)]"
"['tolongg', 'baik', 'ngestack', 'masalah', 'afk', 'gara', 'gara', 'masalah', 'sampai', 'jika', 'salah', 'mohon', 'koreksi', 'teman', 'teman']","[('tolongg',), ('baik',), ('ngestack',), ('masalah',), ('afk',), ('gara',), ('gara',), ('masalah',), ('sampai',), ('jika',), ('salah',), ('mohon',), ('koreksi',), ('teman',), ('teman',)]"
['rusak'],"[('rusak',)]"
['bagus'],"[('bagus',)]"
"['update', 'busuk', 'nunggu', 'delay']","[('update',), ('busuk',), ('nunggu',), ('delay',)]"
"['bagus', 'banget', 'like', 'it']","[('bagus',), ('banget',), ('like',), ('it',)]"
['bagus'],"[('bagus',)]"
"['sampah', 'kalah']","[('sampah',), ('kalah',)]"
"['kikir', 'kalah']","[('kikir',), ('kalah',)]"
"['bagus', 'sakal', 'engak', 'tarik', 'tolong', 'minta', 'konter']","[('bagus',), ('sakal',), ('engak',), ('tarik',), ('tolong',), ('minta',), ('konter',)]"
"['benar', 'anj', 'masa', 'ketemu', 'trio', 'random', 'tolol', 'lawan', 'partyaan', 'lima']","[('benar',), ('anj',), ('masa',), ('ketemu',), ('trio',), ('random',), ('tolol',), ('lawan',), ('partyaan',), ('lima',)]"
"['bagus', 'hal', 'dewasa']","[('bagus',), ('hal',), ('dewasa',)]"
"['kuliah', 'baru', 'ikut', 'rame', 'isi', 'kosong']","[('kuliah',), ('baru',), ('ikut',), ('rame',), ('isi',), ('kosong',)]"
"['jangan', 'dowload', 'ketemu', 'beban', 'anjg', 'kaasih', 'beban', 'cape', 'bangsat']","[('jangan',), ('dowload',), ('ketemu',), ('beban',), ('anjg',), ('kaasih',), ('beban',), ('cape',), ('bangsat',)]"
"['menit', 'kalah', 'bintang', 'lindung', 'mmr', 'turun', 'sudah', 'bagus', 'asu', 'asu', 'asu', 'buruk']","[('menit',), ('kalah',), ('bintang',), ('lindung',), ('mmr',), ('turun',), ('sudah',), ('bagus',), ('asu',), ('asu',), ('asu',), ('buruk',)]"
"['beri', 'benar']","[('beri',), ('benar',)]"
"['cuma', 'ngehabisin', 'paket', 'semua', 'afk', 'gausah']","[('cuma',), ('ngehabisin',), ('paket',), ('semua',), ('afk',), ('gausah',)]"
"['goreng', 'patut', 'lag', 'wae']","[('goreng',), ('patut',), ('lag',), ('wae',)]"
"['buruk', 'pernah', 'lag', 'gabisa', 'gerak', 'tolong', 'baik', 'jika', 'baik', 'mending', 'hapus', 'gane', 'rusak']","[('buruk',), ('pernah',), ('lag',), ('gabisa',), ('gerak',), ('tolong',), ('baik',), ('jika',), ('baik',), ('mending',), ('hapus',), ('gane',), ('rusak',)]"
"['banyak', 'jelas', 'mending', 'poin', 'bintang', 'coklat', 'poin', 'kurang', 'paling', 'banyak', 'mvp', 'point', 'kurang', 'masa', 'banyak', 'kalah', 'menang', 'tinggal', 'nunggu', 'baru', 'laku']","[('banyak',), ('jelas',), ('mending',), ('poin',), ('bintang',), ('coklat',), ('poin',), ('kurang',), ('paling',), ('banyak',), ('mvp',), ('point',), ('kurang',), ('masa',), ('banyak',), ('kalah',), ('menang',), ('tinggal',), ('nunggu',), ('baru',), ('laku',)]"
"['woyy', 'kenapa', 'gabisa', 'bukak', 'bagus']","[('woyy',), ('kenapa',), ('gabisa',), ('bukak',), ('bagus',)]"
['bagus'],"[('bagus',)]"
"['bagus', 'rangin', 'gelap']","[('bagus',), ('rangin',), ('gelap',)]"
"['adil', 'banyak', 'beban']","[('adil',), ('banyak',), ('beban',)]"
"['bagus', 'banget', 'terimakasih', 'bagus']","[('bagus',), ('banget',), ('terimakasih',), ('bagus',)]"
"['bagus', 'banget', 'suka']","[('bagus',), ('banget',), ('suka',)]"
['bagusds'],"[('bagusds',)]"
"['pesan', 'tolong', 'lh', 'ringan', 'kentang', 'jauh', 'pelosok', 'ken', 'nyaman', 'alami', 'utama', 'tarung', 'lawan', 'alami', 'lag', 'langsung', 'merah', 'stabil', 'tanya', 'kenapa', 'ad', 'musuh', 'tarung', 'baru', 'bagus', 'belum', 'bagus', 'bagus', 'kenapa', 'tolong', 'tolong', 'kasi', 'ringan', 'lh', 'kepada']","[('pesan',), ('tolong',), ('lh',), ('ringan',), ('kentang',), ('jauh',), ('pelosok',), ('ken',), ('nyaman',), ('alami',), ('utama',), ('tarung',), ('lawan',), ('alami',), ('lag',), ('langsung',), ('merah',), ('stabil',), ('tanya',), ('kenapa',), ('ad',), ('musuh',), ('tarung',), ('baru',), ('bagus',), ('belum',), ('bagus',), ('bagus',), ('kenapa',), ('tolong',), ('tolong',), ('kasi',), ('ringan',), ('lh',), ('kepada',)]"
['kikir'],"[('kikir',)]"
"['minimal', 'tolong', 'punya', 'masuk', 'lobby', 'sinyal', 'oke', 'tibatiba', 'gm', 'bilang', 'mohon', 'maaf', 'gagal', 'sambung', 'periksa', 'jangan', 'bagus', 'minimal', 'tolong', 'baless', 'minimal']","[('minimal',), ('tolong',), ('punya',), ('masuk',), ('lobby',), ('sinyal',), ('oke',), ('tibatiba',), ('gm',), ('bilang',), ('mohon',), ('maaf',), ('gagal',), ('sambung',), ('periksa',), ('jangan',), ('bagus',), ('minimal',), ('tolong',), ('baless',), ('minimal',)]"
['bagus'],"[('bagus',)]"
"['apasih', 'jelas', 'bngt', 'afk', 'sebentar', 'trs', 'balik', 'lgi', 'kena', 'ingat', 'afk']","[('apasih',), ('jelas',), ('bngt',), ('afk',), ('sebentar',), ('trs',), ('balik',), ('lgi',), ('kena',), ('ingat',), ('afk',)]"
"['rusakk', 'beri', 'imbang', 'lawakk', 'mana', 'lag']","[('rusakk',), ('beri',), ('imbang',), ('lawakk',), ('mana',), ('lag',)]"
['baik'],"[('baik',)]"
"['makin', 'buriq', 'banget', 'asli', 'sumpah', 'mending', 'unistall', 'dehh', 'mainin', 'lama', 'semakain', 'jelek', 'masa', 'bagus', 'gerak', 'skill', 'analog', 'pencet', 'utama', 'bagi', 'analog', 'kadang', 'mencet', 'sendiri', 'reccal', 'vakum']","[('makin',), ('buriq',), ('banget',), ('asli',), ('sumpah',), ('mending',), ('unistall',), ('dehh',), ('mainin',), ('lama',), ('semakain',), ('jelek',), ('masa',), ('bagus',), ('gerak',), ('skill',), ('analog',), ('pencet',), ('utama',), ('bagi',), ('analog',), ('kadang',), ('mencet',), ('sendiri',), ('reccal',), ('vakum',)]"
"['love', 'this', 'for', 'not', 'having', 'ai', 'animation', 'for', 'their', 'trailer', 'pls', 'dont', 'change']","[('love',), ('this',), ('for',), ('not',), ('having',), ('ai',), ('animation',), ('for',), ('their',), ('trailer',), ('pls',), ('dont',), ('change',)]"
"['jangan', 'akibat', 'stres', 'jarak', 'makan', 'jarang', 'sholat', 'lebih', 'parah', 'akn', 'akibat', 'marahmarah']","[('jangan',), ('akibat',), ('stres',), ('jarak',), ('makan',), ('jarang',), ('sholat',), ('lebih',), ('parah',), ('akn',), ('akibat',), ('marahmarah',)]"
['bangsat'],"[('bangsat',)]"
"['seru', 'gemburik']","[('seru',), ('gemburik',)]"
"['stres', 'banyak', 'gelap', 'epik', 'buruk', 'jangan', 'sampai', 'anak', 'kecil', 'men', 'dawlod', 'ngerusakin']","[('stres',), ('banyak',), ('gelap',), ('epik',), ('buruk',), ('jangan',), ('sampai',), ('anak',), ('kecil',), ('men',), ('dawlod',), ('ngerusakin',)]"
"['makin', 'makin', 'jelas', 'loststeak', 'sampai', 'ditroll', 'kadang', 'lag', 'akibat', 'keluar', 'sendiri', 'masuk', 'langsung', 'afk', 'payah', 'mem', 'milih']","[('makin',), ('makin',), ('jelas',), ('loststeak',), ('sampai',), ('ditroll',), ('kadang',), ('lag',), ('akibat',), ('keluar',), ('sendiri',), ('masuk',), ('langsung',), ('afk',), ('payah',), ('mem',), ('milih',)]"
"['selalu', 'tolol', 'admin', 'masa', 'mvp', 'defeat', 'mantep', 'mind', 'biar', 'gendong', 'bocil', 'tolol']","[('selalu',), ('tolol',), ('admin',), ('masa',), ('mvp',), ('defeat',), ('mantep',), ('mind',), ('biar',), ('gendong',), ('bocil',), ('tolol',)]"
"['have', 'fun']","[('have',), ('fun',)]"
"['gemnya', 'rayan', 'seru']","[('gemnya',), ('rayan',), ('seru',)]"
"['banyak', 'gelap']","[('banyak',), ('gelap',)]"
"['woy', 'lag', 'sampai', 'crash', 'dalam', 'tanding', 'rusak', 'lol']","[('woy',), ('lag',), ('sampai',), ('crash',), ('dalam',), ('tanding',), ('rusak',), ('lol',)]"
"['rusak', 'setan']","[('rusak',), ('setan',)]"
"['seru', 'tolong', 'draksistemnya', 'rangin', 'sya', 'selalu', 'tolol', 'tb', 'lag', 'pdhl', 'lag', 'mohon', 'muntun', 'rangin', 'tolol', 'hehh']","[('seru',), ('tolong',), ('draksistemnya',), ('rangin',), ('sya',), ('selalu',), ('tolol',), ('tb',), ('lag',), ('pdhl',), ('lag',), ('mohon',), ('muntun',), ('rangin',), ('tolol',), ('hehh',)]"
"['wins', 'treak']","[('wins',), ('treak',)]"
"['bingung', 'saran', 'bawah', 'umur']","[('bingung',), ('saran',), ('bawah',), ('umur',)]"
['hibur'],"[('hibur',)]"
"['jngn', 'rusak', 'sinyal', 'parah']","[('jngn',), ('rusak',), ('sinyal',), ('parah',)]"
"['najis', 'kalah']","[('najis',), ('kalah',)]"
"['busuk', 'skin', 'makin', 'banyak', 'kualitas', 'turun', 'benar', 'ingame', 'stuck', 'gerak', 'sinyal', 'hijau']","[('busuk',), ('skin',), ('makin',), ('banyak',), ('kualitas',), ('turun',), ('benar',), ('ingame',), ('stuck',), ('gerak',), ('sinyal',), ('hijau',)]"
"['gubluk', 'lolot', 'dev', 'kikir', 'cuma', 'mikirin', 'uang', 'uang', 'melulu', 'collab', 'melulu', 'benar', 'mai', 'skill', 'warrior', 'sia', 'sia', 'ranked', 'asu', 'tolong', 'tingkat', 'jgn', 'notice', 'uang', 'pernah', 'urus', 'sudah', 'gitu', 'troll', 'biasa', 'kena', 'hukum', 'ban']","[('gubluk',), ('lolot',), ('dev',), ('kikir',), ('cuma',), ('mikirin',), ('uang',), ('uang',), ('melulu',), ('collab',), ('melulu',), ('benar',), ('mai',), ('skill',), ('warrior',), ('sia',), ('sia',), ('ranked',), ('asu',), ('tolong',), ('tingkat',), ('jgn',), ('notice',), ('uang',), ('pernah',), ('urus',), ('sudah',), ('gitu',), ('troll',), ('biasa',), ('kena',), ('hukum',), ('ban',)]"
"['we', 'pontoon', 'jago', 'kasi', 'jago', 'donk']","[('we',), ('pontoon',), ('jago',), ('kasi',), ('jago',), ('donk',)]"
"['kenapa', 'woy', 'sinyal', 'hijau', 'ping', 'ms', 'sambung', 'perangkat', 'babi', 'update', 'gagal', 'palah', 'rilis', 'tolol']","[('kenapa',), ('woy',), ('sinyal',), ('hijau',), ('ping',), ('ms',), ('sambung',), ('perangkat',), ('babi',), ('update',), ('gagal',), ('palah',), ('rilis',), ('tolol',)]"
['senang'],"[('senang',)]"
"['oke', 'tolong', 'banget', 'beri', 'musuh', 'bukan', 'ketemu', 'musuh', 'duo', 'trio', 'benar', 'benar', 'susah', 'tolong', 'banget', 'baru', 'terimakasih']","[('oke',), ('tolong',), ('banget',), ('beri',), ('musuh',), ('bukan',), ('ketemu',), ('musuh',), ('duo',), ('trio',), ('benar',), ('benar',), ('susah',), ('tolong',), ('banget',), ('baru',), ('terimakasih',)]"
"['oyy', 'jelsas', 'sedikit', 'napa', 'bias', 'sinyal', 'bagus', 'kadang', 'pin', 'gabisa', 'gerak', 'plislah', 'defeat', 'sakit', 'klw', 'banding', 'ff', 'gitu', 'lancar', 'bisah', 'gerak', 'kocak', 'makanya', 'yakin', 'masalah', 'bukan', 'sinyal', 'ingat', 'bukan']","[('oyy',), ('jelsas',), ('sedikit',), ('napa',), ('bias',), ('sinyal',), ('bagus',), ('kadang',), ('pin',), ('gabisa',), ('gerak',), ('plislah',), ('defeat',), ('sakit',), ('klw',), ('banding',), ('ff',), ('gitu',), ('lancar',), ('bisah',), ('gerak',), ('kocak',), ('makanya',), ('yakin',), ('masalah',), ('bukan',), ('sinyal',), ('ingat',), ('bukan',)]"
"['event', 'lg', 'bosen', 'trs', 'lg', 'event', 'lain']","[('event',), ('lg',), ('bosen',), ('trs',), ('lg',), ('event',), ('lain',)]"
"['otak', 'normal', 'strees']","[('otak',), ('normal',), ('strees',)]"
['keren'],"[('keren',)]"
"['jangan', 'curang', 'musuh', 'komputer']","[('jangan',), ('curang',), ('musuh',), ('komputer',)]"
['bagus'],"[('bagus',)]"
['enak'],"[('enak',)]"
['rusak'],"[('rusak',)]"
"['selalu', 'beban', 'sengaja', 'troll', 'gelap', 'susah', 'naik', 'tahay']","[('selalu',), ('beban',), ('sengaja',), ('troll',), ('gelap',), ('susah',), ('naik',), ('tahay',)]"
"['bangkrut', 'baru', 'paksa', 'diamond']","[('bangkrut',), ('baru',), ('paksa',), ('diamond',)]"
"['brawl', 'slot']","[('brawl',), ('slot',)]"
"['seru', 'pokok']","[('seru',), ('pokok',)]"
"['juang', 'anj']","[('juang',), ('anj',)]"
"['stiap', 'ngestak', 'pdhl', 'mh', 'aman', 'tolong', 'segera', 'baik']","[('stiap',), ('ngestak',), ('pdhl',), ('mh',), ('aman',), ('tolong',), ('segera',), ('baik',)]"
"['season', 'baru', 'ngomong', 'paling', 'parah', 'sndiri', 'tipikal', 'pernah', 'komplen', 'emng', 'kalah', 'pasti', 'lag', 'semua', 'lag', 'parah', 'musuh', 'pasti', 'gg', 'parah', 'terlalu', 'jgn', 'donlod', 'buruk']","[('season',), ('baru',), ('ngomong',), ('paling',), ('parah',), ('sndiri',), ('tipikal',), ('pernah',), ('komplen',), ('emng',), ('kalah',), ('pasti',), ('lag',), ('semua',), ('lag',), ('parah',), ('musuh',), ('pasti',), ('gg',), ('parah',), ('terlalu',), ('jgn',), ('donlod',), ('buruk',)]"
"['selalu', 'lag', 'tibaba', 'mati', 'baik']","[('selalu',), ('lag',), ('tibaba',), ('mati',), ('baik',)]"
"['masa', 'full', 'baik', 'lag', 'sendiri', 'error', 'tolong', 'baik']","[('masa',), ('full',), ('baik',), ('lag',), ('sendiri',), ('error',), ('tolong',), ('baik',)]"
"['banyak', 'banyak', 'istighfar']","[('banyak',), ('banyak',), ('istighfar',)]"
"['haram', 'naik', 'turun', 'naik', 'turun', 'asu', 'komputer']","[('haram',), ('naik',), ('turun',), ('naik',), ('turun',), ('asu',), ('komputer',)]"
['bagus'],"[('bagus',)]"
"['teman', 'selalu', 'gelap', 'selalu', 'lag', 'buka', 'youtube', 'bagus', 'bagus', 'teman', 'gelap', 'ahk', 'benar', 'gg', 'pro', 'rating', 'satu', 'bintang', 'musuh', 'gg', 'sedang', 'bot', 'pokok', 'joki', 'proplayer', 'top', 'global']","[('teman',), ('selalu',), ('gelap',), ('selalu',), ('lag',), ('buka',), ('youtube',), ('bagus',), ('bagus',), ('teman',), ('gelap',), ('ahk',), ('benar',), ('gg',), ('pro',), ('rating',), ('satu',), ('bintang',), ('musuh',), ('gg',), ('sedang',), ('bot',), ('pokok',), ('joki',), ('proplayer',), ('top',), ('global',)]"
"['bagus', 'hd', 'cakep', 'bagus', 'utama', 'obsidia']","[('bagus',), ('hd',), ('cakep',), ('bagus',), ('utama',), ('obsidia',)]"
['seruu'],"[('seruu',)]"
"['keren', 'bagus', 'sedikit', 'kurang', 'yaitu', 'lag', 'stabil', 'harap', 'tanggap', 'ulas', 'baik']","[('keren',), ('bagus',), ('sedikit',), ('kurang',), ('yaitu',), ('lag',), ('stabil',), ('harap',), ('tanggap',), ('ulas',), ('baik',)]"
"['update', 'sekarang', 'freeze', 'al', 'hasil', 'lose', 'streak', 'belum', 'update', 'lancar', 'kecewa']","[('update',), ('sekarang',), ('freeze',), ('al',), ('hasil',), ('lose',), ('streak',), ('belum',), ('update',), ('lancar',), ('kecewa',)]"
"['cukup', 'seru', 'makin', 'lama', 'makin', 'berat', 'hpku', 'bukan', 'gaming', 'gampang', 'panas']","[('cukup',), ('seru',), ('makin',), ('lama',), ('makin',), ('berat',), ('hpku',), ('bukan',), ('gaming',), ('gampang',), ('panas',)]"
"['musuh', 'susah']","[('musuh',), ('susah',)]"
"['atas', 'teman', 'yaitu', 'samuel', 'prabowo', 'jika', 'guna', 'samar', 'anggap', 'langgar', 'atur', 'pasal', 'undangundang']","[('atas',), ('teman',), ('yaitu',), ('samuel',), ('prabowo',), ('jika',), ('guna',), ('samar',), ('anggap',), ('langgar',), ('atur',), ('pasal',), ('undangundang',)]"
"['ngerank', 'bocil']","[('ngerank',), ('bocil',)]"
"['fikss', 'percaya', 'banyak', 'legends', 'bang', 'bang', 'pasti', 'banyak', 'ngalamin', 'bug', 'skill', 'sinyal', 'slalu', 'hilang', 'ingame', 'rating', 'b', 'tuju', 'pihak', 'bukan', 'dua', 'ngalamin', 'kyk', 'begini', 'performa', 'turun', 'bukan', 'cuma', 'banyak', 'banyak', 'pensi', 'masalah', 'bgni', 'contoh', 'teman', 'tolong', 'developer', 'baik', 'jt', 'lebih', 'wakil']","[('fikss',), ('percaya',), ('banyak',), ('legends',), ('bang',), ('bang',), ('pasti',), ('banyak',), ('ngalamin',), ('bug',), ('skill',), ('sinyal',), ('slalu',), ('hilang',), ('ingame',), ('rating',), ('b',), ('tuju',), ('pihak',), ('bukan',), ('dua',), ('ngalamin',), ('kyk',), ('begini',), ('performa',), ('turun',), ('bukan',), ('cuma',), ('banyak',), ('banyak',), ('pensi',), ('masalah',), ('bgni',), ('contoh',), ('teman',), ('tolong',), ('developer',), ('baik',), ('jt',), ('lebih',), ('wakil',)]"
"['muas', 'tolong', 'gelap', 'rangin']","[('muas',), ('tolong',), ('gelap',), ('rangin',)]"
"['bagus', 'reting', 'bintang']","[('bagus',), ('reting',), ('bintang',)]"
"['jelek', 'banyak', 'ewean', 'hapus']","[('jelek',), ('banyak',), ('ewean',), ('hapus',)]"
"['punya', 'kendala', 'yaitu', 'asik', 'sinyal', 'hilang', 'tampil', 'teks', 'hubung', 'tanding', 'umum', 'kuota', 'aktif', 'ping', 'hijau', 'sekitar', 'ms', 'entah', 'knp', 'makin', 'berat', 'kentang', 'sinyal', 'makin', 'kacau', 'moga', 'lain', 'lebih', 'baik']","[('punya',), ('kendala',), ('yaitu',), ('asik',), ('sinyal',), ('hilang',), ('tampil',), ('teks',), ('hubung',), ('tanding',), ('umum',), ('kuota',), ('aktif',), ('ping',), ('hijau',), ('sekitar',), ('ms',), ('entah',), ('knp',), ('makin',), ('berat',), ('kentang',), ('sinyal',), ('makin',), ('kacau',), ('moga',), ('lain',), ('lebih',), ('baik',)]"
"['represing', 'hilang', 'stres', 'nambah', 'stres', 'lost', 'treak', 'kon']","[('represing',), ('hilang',), ('stres',), ('nambah',), ('stres',), ('lost',), ('treak',), ('kon',)]"
"['tolol', 'jelas']","[('tolol',), ('jelas',)]"
"['buruk', 'sinyal', 'rusak', 'buruk', 'kematen', 'update', 'skin', 'kolektor', 'sinyal', 'dadak', 'hilang', 'lping', 'atas', 'begini', 'lama', 'banyak', 'uninstal', 'gara', 'sinyal', 'hilang', 'lostreak', 'njing']","[('buruk',), ('sinyal',), ('rusak',), ('buruk',), ('kematen',), ('update',), ('skin',), ('kolektor',), ('sinyal',), ('dadak',), ('hilang',), ('lping',), ('atas',), ('begini',), ('lama',), ('banyak',), ('uninstal',), ('gara',), ('sinyal',), ('hilang',), ('lostreak',), ('njing',)]"
"['emng', 't', 'buka', 'neng', 'stres']","[('emng',), ('t',), ('buka',), ('neng',), ('stres',)]"
['bagus'],"[('bagus',)]"
"['keren', 'banget']","[('keren',), ('banget',)]"
"['tolong', 'jangan', 'darksistem', 'semua', 'anj', 'pen', 'mythic', 'glory', 'cok', 'liatt', 'komen']","[('tolong',), ('jangan',), ('darksistem',), ('semua',), ('anj',), ('pen',), ('mythic',), ('glory',), ('cok',), ('liatt',), ('komen',)]"
"['lag', 'lag', 'mid', 'baru', 'lag', 'gimana', 'kalah', 'dominasi', 'duluan', 'musuh']","[('lag',), ('lag',), ('mid',), ('baru',), ('lag',), ('gimana',), ('kalah',), ('dominasi',), ('duluan',), ('musuh',)]"
"['makin', 'parah', 'lag']","[('makin',), ('parah',), ('lag',)]"
"['jelas', 'gelap']","[('jelas',), ('gelap',)]"
"['minimal', 'nyepin', 'pernah', 'hoki', 'win', 'strikk', 'beri', 'komputer', 'semua', 'anj']","[('minimal',), ('nyepin',), ('pernah',), ('hoki',), ('win',), ('strikk',), ('beri',), ('komputer',), ('semua',), ('anj',)]"
['bagus'],"[('bagus',)]"
"['bagi', 'skin']","[('bagi',), ('skin',)]"
"['asu', 'lag', 'sudah', 'pakek', 'wifipaket', 'dataa', 'tolol', 'babi', 'haramm']","[('asu',), ('lag',), ('sudah',), ('pakek',), ('wifipaket',), ('dataa',), ('tolol',), ('babi',), ('haramm',)]"
"['sihh', 'gede', 'lag', 'tolol']","[('sihh',), ('gede',), ('lag',), ('tolol',)]"
"['tolol', 'co']","[('tolol',), ('co',)]"
"['benar', 'milih', 'lawan', 'sendiri', 'imbang', 'bukan', 'vs', 'afkjangan', 'beban', 'ranked', 'benah', 'vs', 'padan', 'menang', 'kalah', 'urus', 'nanti', 'turun', 'ketemu', 'gelap', 'vs', 'lalu', 'vs', 'gelap', 'bukan', 'kalah', 'fear', 'vs', 'gapapa', 'classic', 'ketemu', 'gelap', 'vs']","[('benar',), ('milih',), ('lawan',), ('sendiri',), ('imbang',), ('bukan',), ('vs',), ('afkjangan',), ('beban',), ('ranked',), ('benah',), ('vs',), ('padan',), ('menang',), ('kalah',), ('urus',), ('nanti',), ('turun',), ('ketemu',), ('gelap',), ('vs',), ('lalu',), ('vs',), ('gelap',), ('bukan',), ('kalah',), ('fear',), ('vs',), ('gapapa',), ('classic',), ('ketemu',), ('gelap',), ('vs',)]"
['sampah'],"[('sampah',)]"
['redy'],"[('redy',)]"
"['bintang', 'bukan', 'bagus', 'jelek', 'makin', 'sekarang', 'makin', 'ngebug', 'masa', 'loby', 'warna', 'ungu', 'draf', 'suka', 'lag', 'tambah', 'bagus', 'suka', 'lag']","[('bintang',), ('bukan',), ('bagus',), ('jelek',), ('makin',), ('sekarang',), ('makin',), ('ngebug',), ('masa',), ('loby',), ('warna',), ('ungu',), ('draf',), ('suka',), ('lag',), ('tambah',), ('bagus',), ('suka',), ('lag',)]"
"['pencet', 'hubung', 'akun', 'wanya']","[('pencet',), ('hubung',), ('akun',), ('wanya',)]"
"['offline', 'bintang', 'lima', 'biasa', 'hotspot', 'tetangga', 'lag', 'marah', 'pukul', 'gitu']","[('offline',), ('bintang',), ('lima',), ('biasa',), ('hotspot',), ('tetangga',), ('lag',), ('marah',), ('pukul',), ('gitu',)]"
"['terlalu', 'banyak', 'jasa', 'joki', 'banyak', 'beban', 'ranked', 'ripot', 'pernah', 'hasil', 'walaupun', 'skor', 'gelap', 'kacau']","[('terlalu',), ('banyak',), ('jasa',), ('joki',), ('banyak',), ('beban',), ('ranked',), ('ripot',), ('pernah',), ('hasil',), ('walaupun',), ('skor',), ('gelap',), ('kacau',)]"
"['babi', 'benar']","[('babi',), ('benar',)]"
"['gelap', 'mlu', 'gmn', 'mles', 'hpus', 'ganti']","[('gelap',), ('mlu',), ('gmn',), ('mles',), ('hpus',), ('ganti',)]"
"['parah', 'benar', 'selalu', 'lag', 'pdahal', 'bgus', 'sinyal', 'banyak', 'bug', 'nie', 'tolong', 'baik', 'perhati']","[('parah',), ('benar',), ('selalu',), ('lag',), ('pdahal',), ('bgus',), ('sinyal',), ('banyak',), ('bug',), ('nie',), ('tolong',), ('baik',), ('perhati',)]"
['kombeck'],"[('kombeck',)]"
"['kenapaa', 'sinyalnyaa', 'sinyal', 'bagus', 'lag', 'ahh', 'rusak', 'napa']","[('kenapaa',), ('sinyalnyaa',), ('sinyal',), ('bagus',), ('lag',), ('ahh',), ('rusak',), ('napa',)]"
"['tolong', 'rangin', 'mb']","[('tolong',), ('rangin',), ('mb',)]"
"['oii', 'awas', 'misal', 'magic', 'core', 'reset', 'bulan', 'sumpahin', 'pasti', 'blunder', 'pasti', 'makin', 'sepi', 'nanti', 'gara', 'hal']","[('oii',), ('awas',), ('misal',), ('magic',), ('core',), ('reset',), ('bulan',), ('sumpahin',), ('pasti',), ('blunder',), ('pasti',), ('makin',), ('sepi',), ('nanti',), ('gara',), ('hal',)]"
"['akun', 'kenapa', 'kaitin', 'suatu', 'salah', 'satu', 'opsi', 'akun', 'ilang', 'bind']","[('akun',), ('kenapa',), ('kaitin',), ('suatu',), ('salah',), ('satu',), ('opsi',), ('akun',), ('ilang',), ('bind',)]"
"['sekarang', 'mudah', 'lag', 'loding', 'lama', 'wifi', 'masuk', 'masuk', 'afk', 'mohon', 'bantu', 'pak']","[('sekarang',), ('mudah',), ('lag',), ('loding',), ('lama',), ('wifi',), ('masuk',), ('masuk',), ('afk',), ('mohon',), ('bantu',), ('pak',)]"
['bgus'],"[('bgus',)]"
"['mermerlukan', 'luar', 'biasa']","[('mermerlukan',), ('luar',), ('biasa',)]"
"['bagus', 'kadang', 'masalah', 'seru', 'kesal', 'senang']","[('bagus',), ('kadang',), ('masalah',), ('seru',), ('kesal',), ('senang',)]"
"['ngawur', 'high', 'mythical', 'glory', 'tinggi', 'ketemu', 'satu', 'high', 'mythic', 'mythical', 'bintang', 'ketemu', 'trio', 'tolong', 'perhati', 'bagus']","[('ngawur',), ('high',), ('mythical',), ('glory',), ('tinggi',), ('ketemu',), ('satu',), ('high',), ('mythic',), ('mythical',), ('bintang',), ('ketemu',), ('trio',), ('tolong',), ('perhati',), ('bagus',)]"
"['skin', 'bagus']","[('skin',), ('bagus',)]"
['anjg'],"[('anjg',)]"
"['simpel', 'gc', 'jelas', 'spell', 'retri', 'mala', 'ngpus', 'minion', 'kecewa', 'banget']","[('simpel',), ('gc',), ('jelas',), ('spell',), ('retri',), ('mala',), ('ngpus',), ('minion',), ('kecewa',), ('banget',)]"
"['bagus', 'tahan', 'menara', 'tanpa', 'koneksi', 'pokok', 'bagus']","[('bagus',), ('tahan',), ('menara',), ('tanpa',), ('koneksi',), ('pokok',), ('bagus',)]"
['rusak'],"[('rusak',)]"
"['saran', 'matchnya', 'buruk']","[('saran',), ('matchnya',), ('buruk',)]"
"['strees', 'relog', 'lama', 'jelek', 'banyak', 'update', 'jelek']","[('strees',), ('relog',), ('lama',), ('jelek',), ('banyak',), ('update',), ('jelek',)]"
['nyusahin'],"[('nyusahin',)]"
"['seru', 'banyak', 'lag']","[('seru',), ('banyak',), ('lag',)]"
"['makas', 'sudah', 'lama', 'hibur', 'kadang', 'stres', 'banyak', 'kalah', 'gelap', 'systemnya', 'gapapa', 'bagus', 'beberapa', 'bug', 'update', 'tan', 'terimakasih']","[('makas',), ('sudah',), ('lama',), ('hibur',), ('kadang',), ('stres',), ('banyak',), ('kalah',), ('gelap',), ('systemnya',), ('gapapa',), ('bagus',), ('beberapa',), ('bug',), ('update',), ('tan',), ('terimakasih',)]"
"['bintang', 'buruk', 'ee', 'semua']","[('bintang',), ('buruk',), ('ee',), ('semua',)]"
"['baga', 'buang', 'sja']","[('baga',), ('buang',), ('sja',)]"
['bagus'],"[('bagus',)]"
"['bagus', 'lag', 'jir']","[('bagus',), ('lag',), ('jir',)]"
['seru'],"[('seru',)]"
