stopwords_removed,2-gram
"['malas', 'nak', 'cakap', 'dh', 'enemy', 'dh', 'pro', 'dh', 'noob', 'paling', 'malas', 'rendah', 'nyasar', 'sendiri', 'sedang', 'enmy', 'sampai', 'bekas', 'immortal', 'dh', 'cam', 'sial', 'update', 'sekaranggood', 'bye', 'forever']","['bekas_immortal', 'bye_forever', 'cakap_dh', 'cam_sial', 'dh_cam', 'dh_enemy', 'dh_noob', 'dh_pro', 'enemy_dh', 'enmy_sampai', 'immortal_dh', 'malas_nak', 'malas_rendah', 'nak_cakap', 'noob_paling', 'nyasar_sendiri', 'paling_malas', 'pro_dh', 'rendah_nyasar', 'sampai_bekas', 'sedang_enmy', 'sekaranggood_bye', 'sendiri_sedang', 'sial_update', 'update_sekaranggood']"
['pamaniyasarusakali'],[]
['yatim'],[]
"['bagus', 'suka', 'ikan', 'ws', 'lebih', 'banyak']","['bagus_suka', 'ikan_ws', 'lebih_banyak', 'suka_ikan', 'ws_lebih']"
"['semenjak', 'ganti', 'season', 'baru', 'makin', 'ngaco', 'matching', 'bug', 'lag', 'sinyal', 'bagus', 'entah', 'cheat', 'sebab', 'lag', 'makin', 'jelas', 'pokok']","['bagus_entah', 'baru_makin', 'bug_lag', 'cheat_sebab', 'entah_cheat', 'ganti_season', 'jelas_pokok', 'lag_makin', 'lag_sinyal', 'makin_jelas', 'makin_ngaco', 'matching_bug', 'ngaco_matching', 'season_baru', 'sebab_lag', 'semenjak_ganti', 'sinyal_bagus']"
"['bagus', 'tolong', 'baik', 'muntun', 'renk', 'computer', 'musuh', 'serasa', 'joki', 'beri', 'lawan', 'padan', 'baik', 'pindah']","['bagus_tolong', 'baik_muntun', 'baik_pindah', 'beri_lawan', 'computer_musuh', 'joki_beri', 'lawan_padan', 'muntun_renk', 'musuh_serasa', 'padan_baik', 'renk_computer', 'serasa_joki', 'tolong_baik']"
"['minus', 'permainanan', 'se', 'imbang', 'mvp', 'kalah', 'mah', 'ilangin', 'darat', 'cape']","['darat_cape', 'ilangin_darat', 'imbang_mvp', 'kalah_mah', 'mah_ilangin', 'minus_permainanan', 'mvp_kalah', 'permainanan_se', 'se_imbang']"
"['seru', 'banget']",['seru_banget']
"['buruk', 'efek', 'skin', 'biasa', 'hera', 'aneh', 'tampil', 'majapahit', 'rata', 'win', 'kalah', 'berkalikali', 'stres', 'ginian', 'banyak', 'banget', 'gelap']","['aneh_tampil', 'banget_gelap', 'banyak_banget', 'berkalikali_stres', 'biasa_hera', 'buruk_efek', 'efek_skin', 'ginian_banyak', 'hera_aneh', 'kalah_berkalikali', 'majapahit_rata', 'rata_win', 'skin_biasa', 'stres_ginian', 'tampil_majapahit', 'win_kalah']"
"['kenapa', 'banyak', 'draksistem', 'capek', 'trol', 'jelas']","['banyak_draksistem', 'capek_trol', 'draksistem_capek', 'kenapa_banyak', 'trol_jelas']"
"['update', 'patch', 'baru', 'sekarang', 'kk', 'stuck', 'loading', 'afk', 'sampai', 'menit', 'skoth', 'kah']","['afk_sampai', 'baru_sekarang', 'kk_stuck', 'loading_afk', 'menit_skoth', 'patch_baru', 'sampai_menit', 'sekarang_kk', 'skoth_kah', 'stuck_loading', 'update_patch']"
"['tanding', 'stuck', 'lama', 'keluar', 'tanding', 'ngelakuin', 'gimana']","['keluar_tanding', 'lama_keluar', 'ngelakuin_gimana', 'stuck_lama', 'tanding_ngelakuin', 'tanding_stuck']"
"['knp', 'akun', 'kena', 'bug', 'verifikasi', 'langkah', 'kena', 'verifikasi', 'langkah', 'tolong', 'jawab']","['akun_kena', 'bug_verifikasi', 'kena_bug', 'kena_verifikasi', 'knp_akun', 'langkah_kena', 'langkah_tolong', 'tolong_jawab', 'verifikasi_langkah']"
"['mending', 'gausah', 'banyak', 'draks', 'bag', 'tu', 'ter', 'parah', 'pernah', 'alamin', 'mending', 'ff', 'pubg', 'bloods', 'trek', 'ghenshingimana', 'mythic', 'ngesetak', 'ketemu', 'muntum', 'dia', 'lukas']","['alamin_mending', 'bag_tu', 'banyak_draks', 'bloods_trek', 'dia_lukas', 'draks_bag', 'ff_pubg', 'gausah_banyak', 'ghenshingimana_mythic', 'ketemu_muntum', 'mending_ff', 'mending_gausah', 'muntum_dia', 'mythic_ngesetak', 'ngesetak_ketemu', 'parah_pernah', 'pernah_alamin', 'pubg_bloods', 'ter_parah', 'trek_ghenshingimana', 'tu_ter']"
"['bagus', 'dalam', 'segi', 'skin', 'keren', 'keren', 'kenapa', 'gimana', 'gitu', 'tinggi', 'tinggi', 'bocil', 'mityik', 'susah', 'naik']","['bagus_dalam', 'bocil_mityik', 'dalam_segi', 'gimana_gitu', 'gitu_tinggi', 'kenapa_gimana', 'keren_kenapa', 'keren_keren', 'mityik_susah', 'segi_skin', 'skin_keren', 'susah_naik', 'tinggi_bocil', 'tinggi_tinggi']"
"['sumpah', 'marah', 'pasti', 'kalah', 'maksud', 'gimana', 'sengaja', 'biar', 'kalah', 'stuck', 'ken', 'ngerasain', 'mytic', 'sampai', 'ngeluarin', 'mutiara', 'tolong', 'kerjasamanya']","['biar_kalah', 'gimana_sengaja', 'kalah_maksud', 'kalah_stuck', 'ken_ngerasain', 'maksud_gimana', 'marah_pasti', 'mutiara_tolong', 'mytic_sampai', 'ngeluarin_mutiara', 'ngerasain_mytic', 'pasti_kalah', 'sampai_ngeluarin', 'sengaja_biar', 'stuck_ken', 'sumpah_marah', 'tolong_kerjasamanya']"
"['banyak', 'update', 'baru', 'makin', 'seru', 'bug', 'alam', 'buruk', 'lancar', 'bagus', 'guna', 'dalam', 'lag', 'sudah', 'mati', 'lancar', 'asa', 'pernah', 'fix', 'masalah', 'apakah', 'pihak', 'sengaja', 'sudah', 'banyak', 'masalah', 'masalah', 'pernah', 'tanggap', 'pihak']","['alam_buruk', 'apakah_pihak', 'asa_pernah', 'bagus_guna', 'banyak_masalah', 'banyak_update', 'baru_makin', 'bug_alam', 'buruk_lancar', 'dalam_lag', 'fix_masalah', 'guna_dalam', 'lag_sudah', 'lancar_asa', 'lancar_bagus', 'makin_seru', 'masalah_apakah', 'masalah_masalah', 'masalah_pernah', 'mati_lancar', 'pernah_fix', 'pernah_tanggap', 'pihak_sengaja', 'sengaja_sudah', 'seru_bug', 'sudah_banyak', 'sudah_mati', 'tanggap_pihak', 'update_baru']"
"['macem', 'tolol', 'sinyal', 'hilang', 'sendiri', 'full', 'sinyal', 'dimatiin', 'gerak']","['dimatiin_gerak', 'full_sinyal', 'hilang_sendiri', 'macem_tolol', 'sendiri_full', 'sinyal_dimatiin', 'sinyal_hilang', 'tolol_sinyal']"
"['buruk', 'kontol', 'baba']","['buruk_kontol', 'kontol_baba']"
"['lumayan', 'dikenalin', 'emry']","['dikenalin_emry', 'lumayan_dikenalin']"
"['bodoh', 'sudah', 'top', 'up', 'banyak', 'cuma', 'kalah', 'keren']","['banyak_cuma', 'bodoh_sudah', 'cuma_kalah', 'kalah_keren', 'sudah_top', 'top_up', 'up_banyak']"
"['buruk', 'update', 'yng', 'sekarang', 'buruk', 'offline', 'pass', 'masuk', 'pilih', 'mulai', 'tulis', 'gitu', 'pass', 'pencet', 'oke', 'mulai', 'sendiri', 'lag', 'keluar', 'sendiri', 'baik', 'pliss', 'maaf', 'rate', 'cuma', 'dua', 'bintang', 'baik', 'terimakasih', 'maaf', 'terlalu', 'panjang']","['baik_pliss', 'baik_terimakasih', 'bintang_baik', 'buruk_offline', 'buruk_update', 'cuma_dua', 'dua_bintang', 'gitu_pass', 'keluar_sendiri', 'lag_keluar', 'maaf_rate', 'maaf_terlalu', 'masuk_pilih', 'mulai_sendiri', 'mulai_tulis', 'offline_pass', 'oke_mulai', 'pass_masuk', 'pass_pencet', 'pencet_oke', 'pilih_mulai', 'pliss_maaf', 'rate_cuma', 'sekarang_buruk', 'sendiri_baik', 'sendiri_lag', 'terimakasih_maaf', 'terlalu_panjang', 'tulis_gitu', 'update_yng', 'yng_sekarang']"
['otak'],[]
"['gblk', 'beri', 'gaperna', 'benar', 'mm', 'anjg']","['benar_mm', 'beri_gaperna', 'gaperna_benar', 'gblk_beri', 'mm_anjg']"
"['lumayan', 'ngendali', 'pasti', 'seru', 'lawan', 'computer', 'maksud', 'skin', 'gratis', 'rendom']","['computer_maksud', 'gratis_rendom', 'lawan_computer', 'lumayan_ngendali', 'maksud_skin', 'ngendali_pasti', 'pasti_seru', 'seru_lawan', 'skin_gratis']"
"['buruk', 'banyak', 'cheater', 'tambah', 'tambah', 'jelek', 'kurang', 'bagus', 'sengaja', 'bintang', 'otw', 'uninstal']","['bagus_sengaja', 'banyak_cheater', 'bintang_otw', 'buruk_banyak', 'cheater_tambah', 'jelek_kurang', 'kurang_bagus', 'otw_uninstal', 'sengaja_bintang', 'tambah_jelek', 'tambah_tambah']"
"['makingg', 'adil', 'massa', 'ketemu', 'legenda', 'dmna', 'letak', 'adil', 'dri', 'dlu', 'smpee', 'skrngg', 'kya', 'gth', 'aneh']","['adil_dri', 'adil_massa', 'dlu_smpee', 'dmna_letak', 'dri_dlu', 'gth_aneh', 'ketemu_legenda', 'kya_gth', 'legenda_dmna', 'letak_adil', 'makingg_adil', 'massa_ketemu', 'skrngg_kya', 'smpee_skrngg']"
['mengibur'],[]
"['perbaikin', 'terlalu', 'delaylag', 'padalan', 'bagus']","['delaylag_padalan', 'padalan_bagus', 'perbaikin_terlalu', 'terlalu_delaylag']"
