stopwords_removed,3-gram
"['sumpah', 'marah', 'pasti', 'kalah', 'maksud', 'gimana', 'sengaja', 'biar', 'kalah', 'stuck', 'ken', 'ngerasain', 'mytic', 'sampai', 'ngeluarin', 'mutiara', 'tolong', 'kerjasamanya']","['biar_kalah_stuck', 'gimana_sengaja_biar', 'kalah_maksud_gimana', 'kalah_stuck_ken', 'ken_ngerasain_mytic', 'maksud_gimana_sengaja', 'marah_pasti_kalah', 'mutiara_tolong_kerjasamanya', 'mytic_sampai_ngeluarin', 'ngeluarin_mutiara_tolong', 'ngerasain_mytic_sampai', 'pasti_kalah_maksud', 'sampai_ngeluarin_mutiara', 'sengaja_biar_kalah', 'stuck_ken_ngerasain', 'sumpah_marah_pasti']"
"['banyak', 'update', 'baru', 'makin', 'seru', 'bug', 'alam', 'buruk', 'lancar', 'bagus', 'guna', 'dalam', 'lag', 'sudah', 'mati', 'lancar', 'asa', 'pernah', 'fix', 'masalah', 'apakah', 'pihak', 'sengaja', 'sudah', 'banyak', 'masalah', 'masalah', 'pernah', 'tanggap', 'pihak']","['alam_buruk_lancar', 'apakah_pihak_sengaja', 'asa_pernah_fix', 'bagus_guna_dalam', 'banyak_masalah_masalah', 'banyak_update_baru', 'baru_makin_seru', 'bug_alam_buruk', 'buruk_lancar_bagus', 'dalam_lag_sudah', 'fix_masalah_apakah', 'guna_dalam_lag', 'lag_sudah_mati', 'lancar_asa_pernah', 'lancar_bagus_guna', 'makin_seru_bug', 'masalah_apakah_pihak', 'masalah_masalah_pernah', 'masalah_pernah_tanggap', 'mati_lancar_asa', 'pernah_fix_masalah', 'pernah_tanggap_pihak', 'pihak_sengaja_sudah', 'sengaja_sudah_banyak', 'seru_bug_alam', 'sudah_banyak_masalah', 'sudah_mati_lancar', 'update_baru_makin']"
"['macem', 'tolol', 'sinyal', 'hilang', 'sendiri', 'full', 'sinyal', 'dimatiin', 'gerak']","['full_sinyal_dimatiin', 'hilang_sendiri_full', 'macem_tolol_sinyal', 'sendiri_full_sinyal', 'sinyal_dimatiin_gerak', 'sinyal_hilang_sendiri', 'tolol_sinyal_hilang']"
"['buruk', 'kontol', 'baba']",['buruk_kontol_baba']
"['lumayan', 'dikenalin', 'emry']",['lumayan_dikenalin_emry']
"['bodoh', 'sudah', 'top', 'up', 'banyak', 'cuma', 'kalah', 'keren']","['banyak_cuma_kalah', 'bodoh_sudah_top', 'cuma_kalah_keren', 'sudah_top_up', 'top_up_banyak', 'up_banyak_cuma']"
"['buruk', 'update', 'yng', 'sekarang', 'buruk', 'offline', 'pass', 'masuk', 'pilih', 'mulai', 'tulis', 'gitu', 'pass', 'pencet', 'oke', 'mulai', 'sendiri', 'lag', 'keluar', 'sendiri', 'baik', 'pliss', 'maaf', 'rate', 'cuma', 'dua', 'bintang', 'baik', 'terimakasih', 'maaf', 'terlalu', 'panjang']","['baik_pliss_maaf', 'baik_terimakasih_maaf', 'bintang_baik_terimakasih', 'buruk_offline_pass', 'buruk_update_yng', 'cuma_dua_bintang', 'dua_bintang_baik', 'gitu_pass_pencet', 'keluar_sendiri_baik', 'lag_keluar_sendiri', 'maaf_rate_cuma', 'maaf_terlalu_panjang', 'masuk_pilih_mulai', 'mulai_sendiri_lag', 'mulai_tulis_gitu', 'offline_pass_masuk', 'oke_mulai_sendiri', 'pass_masuk_pilih', 'pass_pencet_oke', 'pencet_oke_mulai', 'pilih_mulai_tulis', 'pliss_maaf_rate', 'rate_cuma_dua', 'sekarang_buruk_offline', 'sendiri_baik_pliss', 'sendiri_lag_keluar', 'terimakasih_maaf_terlalu', 'tulis_gitu_pass', 'update_yng_sekarang', 'yng_sekarang_buruk']"
['otak'],[]
"['gblk', 'beri', 'gaperna', 'benar', 'mm', 'anjg']","['benar_mm_anjg', 'beri_gaperna_benar', 'gaperna_benar_mm', 'gblk_beri_gaperna']"
"['lumayan', 'ngendali', 'pasti', 'seru', 'lawan', 'computer', 'maksud', 'skin', 'gratis', 'rendom']","['computer_maksud_skin', 'lawan_computer_maksud', 'lumayan_ngendali_pasti', 'maksud_skin_gratis', 'ngendali_pasti_seru', 'pasti_seru_lawan', 'seru_lawan_computer', 'skin_gratis_rendom']"
"['buruk', 'banyak', 'cheater', 'tambah', 'tambah', 'jelek', 'kurang', 'bagus', 'sengaja', 'bintang', 'otw', 'uninstal']","['bagus_sengaja_bintang', 'banyak_cheater_tambah', 'bintang_otw_uninstal', 'buruk_banyak_cheater', 'cheater_tambah_tambah', 'jelek_kurang_bagus', 'kurang_bagus_sengaja', 'sengaja_bintang_otw', 'tambah_jelek_kurang', 'tambah_tambah_jelek']"
"['makingg', 'adil', 'massa', 'ketemu', 'legenda', 'dmna', 'letak', 'adil', 'dri', 'dlu', 'smpee', 'skrngg', 'kya', 'gth', 'aneh']","['adil_dri_dlu', 'adil_massa_ketemu', 'dlu_smpee_skrngg', 'dmna_letak_adil', 'dri_dlu_smpee', 'ketemu_legenda_dmna', 'kya_gth_aneh', 'legenda_dmna_letak', 'letak_adil_dri', 'makingg_adil_massa', 'massa_ketemu_legenda', 'skrngg_kya_gth', 'smpee_skrngg_kya']"
['mengibur'],[]
"['perbaikin', 'terlalu', 'delaylag', 'padalan', 'bagus']","['delaylag_padalan_bagus', 'perbaikin_terlalu_delaylag', 'terlalu_delaylag_padalan']"
"['stres', 'puyeng', 'satu', 'ujung', 'losetreak', 'trs']","['puyeng_satu_ujung', 'satu_ujung_losetreak', 'stres_puyeng_satu', 'ujung_losetreak_trs']"
