stopwords_removed,1-gram
"['malas', 'nak', 'cakap', 'dh', 'enemy', 'dh', 'pro', 'dh', 'noob', 'paling', 'malas', 'rendah', 'nyasar', 'sendiri', 'sedang', 'enmy', 'sampai', 'bekas', 'immortal', 'dh', 'cam', 'sial', 'update', 'sekaranggood', 'bye', 'forever']","['bekas', 'bye', 'cakap', 'cam', 'dh', 'enemy', 'enmy', 'forever', 'immortal', 'malas', 'nak', 'noob', 'nyasar', 'paling', 'pro', 'rendah', 'sampai', 'sedang', 'sekaranggood', 'sendiri', 'sial', 'update']"
['pamaniyasarusakali'],['pamaniyasarusakali']
['yatim'],['yatim']
"['bagus', 'suka', 'ikan', 'ws', 'lebih', 'banyak']","['bagus', 'banyak', 'ikan', 'lebih', 'suka', 'ws']"
"['semenjak', 'ganti', 'season', 'baru', 'makin', 'ngaco', 'matching', 'bug', 'lag', 'sinyal', 'bagus', 'entah', 'cheat', 'sebab', 'lag', 'makin', 'jelas', 'pokok']","['bagus', 'baru', 'bug', 'cheat', 'entah', 'ganti', 'jelas', 'lag', 'makin', 'matching', 'ngaco', 'pokok', 'season', 'sebab', 'semenjak', 'sinyal']"
"['bagus', 'tolong', 'baik', 'muntun', 'renk', 'computer', 'musuh', 'serasa', 'joki', 'beri', 'lawan', 'padan', 'baik', 'pindah']","['bagus', 'baik', 'beri', 'computer', 'joki', 'lawan', 'muntun', 'musuh', 'padan', 'pindah', 'renk', 'serasa', 'tolong']"
"['minus', 'permainanan', 'se', 'imbang', 'mvp', 'kalah', 'mah', 'ilangin', 'darat', 'cape']","['cape', 'darat', 'ilangin', 'imbang', 'kalah', 'mah', 'minus', 'mvp', 'permainanan', 'se']"
"['seru', 'banget']","['banget', 'seru']"
"['buruk', 'efek', 'skin', 'biasa', 'hera', 'aneh', 'tampil', 'majapahit', 'rata', 'win', 'kalah', 'berkalikali', 'stres', 'ginian', 'banyak', 'banget', 'gelap']","['aneh', 'banget', 'banyak', 'berkalikali', 'biasa', 'buruk', 'efek', 'gelap', 'ginian', 'hera', 'kalah', 'majapahit', 'rata', 'skin', 'stres', 'tampil', 'win']"
"['kenapa', 'banyak', 'draksistem', 'capek', 'trol', 'jelas']","['banyak', 'capek', 'draksistem', 'jelas', 'kenapa', 'trol']"
