stopwords_removed,unigrams_hok
"['boros', 'korban', 'king', 'cuma', 'modal', 'unduh', 'cuma', 'satu', 'habis', 'baru', 'gb', 'sumber', 'daya', 'play', 'emblem', 'semua', 'susa', 'mudah', 'offline', 'masukin', 'paksa', 'update', 'update', 'tunda', 'offline', 'langsung', 'mainin', 'loading', 'unduh', 'lama', 'skill', 'tebel', 'kentang', 'efek', 'kunci', 'skill', 'musuh', 'nyesel', 'unduh']","[('boros',), ('korban',), ('king',), ('cuma',), ('modal',), ('unduh',), ('cuma',), ('satu',), ('habis',), ('baru',), ('gb',), ('sumber',), ('daya',), ('play',), ('emblem',), ('semua',), ('susa',), ('mudah',), ('offline',), ('masukin',), ('paksa',), ('update',), ('update',), ('tunda',), ('offline',), ('langsung',), ('mainin',), ('loading',), ('unduh',), ('lama',), ('skill',), ('tebel',), ('kentang',), ('efek',), ('kunci',), ('skill',), ('musuh',), ('nyesel',), ('unduh',)]"
"['ketemu', 'musuh', 'bahkan', 'bilang', 'lebih', 'banyak', 'kalah', 'menang', 'gimana', 'win', 'and', 'lost', 'banyak', 'lostkalah', 'baru', 'menang', 'kalah', 'menang', 'kalah', 'asa', 'dimoba', 'lain', 'terlalu', 'begini', 'jujur', 'tolong', 'harga']","[('ketemu',), ('musuh',), ('bahkan',), ('bilang',), ('lebih',), ('banyak',), ('kalah',), ('menang',), ('gimana',), ('win',), ('and',), ('lost',), ('banyak',), ('lostkalah',), ('baru',), ('menang',), ('kalah',), ('menang',), ('kalah',), ('asa',), ('dimoba',), ('lain',), ('terlalu',), ('begini',), ('jujur',), ('tolong',), ('harga',)]"
"['bodoh', 'akun', 'ban', 'permanent', 'banyak', 'jasa', 'joki', 'akun', 'kalah', 'feeder', 'sengaja', 'pura', 'pura', 'serang', 'demi', 'musuh', 'menang', 'dapatin', 'top', 'tup', 'skin', 'mahal', 'mending', 'uninstall', 'nanti', 'bulan']","[('bodoh',), ('akun',), ('ban',), ('permanent',), ('banyak',), ('jasa',), ('joki',), ('akun',), ('kalah',), ('feeder',), ('sengaja',), ('pura',), ('pura',), ('serang',), ('demi',), ('musuh',), ('menang',), ('dapatin',), ('top',), ('tup',), ('skin',), ('mahal',), ('mending',), ('uninstall',), ('nanti',), ('bulan',)]"
"['tolong', 'buatin', 'versi', 'litenya', 'indonesia', 'pliss', 'hpku', 'halang', 'ram']","[('tolong',), ('buatin',), ('versi',), ('litenya',), ('indonesia',), ('pliss',), ('hpku',), ('halang',), ('ram',)]"
"['buruk', 'pernah', 'sesal', 'donwload', 'serasa', 'komputer', 'mending', 'stun', 'ngotak', 'lama', 'benar', 'diem', 'sampai', 'habis', 'nyawa', 'baru', 'gerak', 'anjur', 'dragsistem']","[('buruk',), ('pernah',), ('sesal',), ('donwload',), ('serasa',), ('komputer',), ('mending',), ('stun',), ('ngotak',), ('lama',), ('benar',), ('diem',), ('sampai',), ('habis',), ('nyawa',), ('baru',), ('gerak',), ('anjur',), ('dragsistem',)]"
"['aneh', 'lain', 'minta', 'tuker', 'kena', 'report', 'ambil']","[('aneh',), ('lain',), ('minta',), ('tuker',), ('kena',), ('report',), ('ambil',)]"
['suka'],"[('suka',)]"
"['busuk', 'sinyal', 'bagus', 'gerak']","[('busuk',), ('sinyal',), ('bagus',), ('gerak',)]"
"['bug', 'mlu', 'kyak']","[('bug',), ('mlu',), ('kyak',)]"
"['damage', 'turet', 'kurang', 'kurang', 'kurang', 'kurang', 'sakit', 'base']","[('damage',), ('turet',), ('kurang',), ('kurang',), ('kurang',), ('kurang',), ('sakit',), ('base',)]"
"['jangan', 'banyak', 'tolol', 'utama', 'philipne', 'ngabisin', 'kuota', 'kesel', 'lose', 'nanti', 'alas', 'usai', 'gacha', 'random', 'alas', 'adminya', 'keluh', 'cuekin', 'negri', 'konoha', 'percaya', 'cek', 'sendiri', 'uda', 'tier', 'atas', 'banting']","[('jangan',), ('banyak',), ('tolol',), ('utama',), ('philipne',), ('ngabisin',), ('kuota',), ('kesel',), ('lose',), ('nanti',), ('alas',), ('usai',), ('gacha',), ('random',), ('alas',), ('adminya',), ('keluh',), ('cuekin',), ('negri',), ('konoha',), ('percaya',), ('cek',), ('sendiri',), ('uda',), ('tier',), ('atas',), ('banting',)]"
"['seluruh', 'spektakuler', 'sendiri', 'tenchent', 'games', 'beri', 'pasti', 'nguras', 'banyak', 'baget', 'cuy', 'tapiya', 'dia', 'beri', 'grafis', 'manja', 'mata', 'semua', 'tanks', 'developer', 'utama', 'tenchen', 'salut', 'lo', 'gagal', 'saran', 'ngehidupin', 'chess', 'rush', 'tolong', 'developer', 'terimakasih']","[('seluruh',), ('spektakuler',), ('sendiri',), ('tenchent',), ('games',), ('beri',), ('pasti',), ('nguras',), ('banyak',), ('baget',), ('cuy',), ('tapiya',), ('dia',), ('beri',), ('grafis',), ('manja',), ('mata',), ('semua',), ('tanks',), ('developer',), ('utama',), ('tenchen',), ('salut',), ('lo',), ('gagal',), ('saran',), ('ngehidupin',), ('chess',), ('rush',), ('tolong',), ('developer',), ('terimakasih',)]"
"['saran', 'diupdate', 'sesuai', 'tinggi', 'sebut', 'ketemu', 'mana', 'tinggi', 'mid', 'dia', 'jungle', 'sedang', 'mid', 'tinggi', 'support', 'imbang', 'ujung', 'ajang', 'coba', 'coba']","[('saran',), ('diupdate',), ('sesuai',), ('tinggi',), ('sebut',), ('ketemu',), ('mana',), ('tinggi',), ('mid',), ('dia',), ('jungle',), ('sedang',), ('mid',), ('tinggi',), ('support',), ('imbang',), ('ujung',), ('ajang',), ('coba',), ('coba',)]"
"['oke', 'pokok']","[('oke',), ('pokok',)]"
"['rusak', 'kalah']","[('rusak',), ('kalah',)]"
"['coba', 'oke', 'banget', 'normal', 'sudah', 'sampai', 'gold', 'masuk', 'ranked', 'selalu', 'putus', 'normal', 'lancar', 'ranked', 'selalu', 'putus', 'tolong', 'baik', 'hapus', 'mending', 'laen']","[('coba',), ('oke',), ('banget',), ('normal',), ('sudah',), ('sampai',), ('gold',), ('masuk',), ('ranked',), ('selalu',), ('putus',), ('normal',), ('lancar',), ('ranked',), ('selalu',), ('putus',), ('tolong',), ('baik',), ('hapus',), ('mending',), ('laen',)]"
"['gajelas', 'masa', 'duo', 'teman', 'ketemu', 'master', 'sedang', 'tmn', 'sudah', 'gm', 'musuh', 'gm', 'smua', 'sampai', 'mitik', 'mana', 'biasa', 'ngetrol', 'ampe', 'lose', 'gaada', 'naik', 'naik', 'minimal', 'kalah', 'kasi', 'musuh', 'gampang', 'gm', 'bintang', 'turun', 'ampe', 'master', 'bintang', 'biasa', 'new', 'baru']","[('gajelas',), ('masa',), ('duo',), ('teman',), ('ketemu',), ('master',), ('sedang',), ('tmn',), ('sudah',), ('gm',), ('musuh',), ('gm',), ('smua',), ('sampai',), ('mitik',), ('mana',), ('biasa',), ('ngetrol',), ('ampe',), ('lose',), ('gaada',), ('naik',), ('naik',), ('minimal',), ('kalah',), ('kasi',), ('musuh',), ('gampang',), ('gm',), ('bintang',), ('turun',), ('ampe',), ('master',), ('bintang',), ('biasa',), ('new',), ('baru',)]"
"['terlalu', 'buruk', 'terlalu', 'barufeeding', 'bahkan', 'jika', 'mabar', 'dua', 'tiga', 'diamond', 'master', 'report', 'otomatis', 'buruk', 'dasar', 'nilai', 'akhir', 'bukan', 'kerja', 'bahkan', 'jika', 'laku', 'report', 'dua', 'gagal', 'hukum', 'berat', 'skill', 'delay', 'keluar', 'entah', 'bug', 'sengaja', 'tetapi', 'kaku', 'grafik', 'bagus']","[('terlalu',), ('buruk',), ('terlalu',), ('barufeeding',), ('bahkan',), ('jika',), ('mabar',), ('dua',), ('tiga',), ('diamond',), ('master',), ('report',), ('otomatis',), ('buruk',), ('dasar',), ('nilai',), ('akhir',), ('bukan',), ('kerja',), ('bahkan',), ('jika',), ('laku',), ('report',), ('dua',), ('gagal',), ('hukum',), ('berat',), ('skill',), ('delay',), ('keluar',), ('entah',), ('bug',), ('sengaja',), ('tetapi',), ('kaku',), ('grafik',), ('bagus',)]"
"['ping', 'buruk', 'ah', 'sudah']","[('ping',), ('buruk',), ('ah',), ('sudah',)]"
"['seruh', 'banget']","[('seruh',), ('banget',)]"
"['bagus', 'grafik', 'bagustapi', 'mohon', 'bug', 'hilangin', 'animasi', 'tolong', 'diperbaikisudah', 'segitu', 'terimakasih']","[('bagus',), ('grafik',), ('bagustapi',), ('mohon',), ('bug',), ('hilangin',), ('animasi',), ('tolong',), ('diperbaikisudah',), ('segitu',), ('terimakasih',)]"
"['tolong', 'developer', 'stabil', 'router', 'walaupun', 'bagus', 'tetapi', 'kurang', 'stabil', 'banned', 'cheat', 'lebih', 'level', 'max', 'sehingga', 'rugi', 'lain', 'kecewa']","[('tolong',), ('developer',), ('stabil',), ('router',), ('walaupun',), ('bagus',), ('tetapi',), ('kurang',), ('stabil',), ('banned',), ('cheat',), ('lebih',), ('level',), ('max',), ('sehingga',), ('rugi',), ('lain',), ('kecewa',)]"
"['bintang', 'duku', 'bug', 'sinyal', 'bagus', 'tolong', 'baik', 'biar', 'enak']","[('bintang',), ('duku',), ('bug',), ('sinyal',), ('bagus',), ('tolong',), ('baik',), ('biar',), ('enak',)]"
"['gemnya', 'mantap']","[('gemnya',), ('mantap',)]"
"['sempat', 'henti', 'jaringanya', 'lag', 'sekarang', 'coba', 'suka', 'lag', 'wifi', 'lag', 'lag', 'keluar', 'd', 'baik', 'masalah', 'jaringanya', 'lumayan', 'enak', 'd', 'mainin', 'terimakasih']","[('sempat',), ('henti',), ('jaringanya',), ('lag',), ('sekarang',), ('coba',), ('suka',), ('lag',), ('wifi',), ('lag',), ('lag',), ('keluar',), ('d',), ('baik',), ('masalah',), ('jaringanya',), ('lumayan',), ('enak',), ('d',), ('mainin',), ('terimakasih',)]"
"['gacor', 'kang']","[('gacor',), ('kang',)]"
['bagus'],"[('bagus',)]"
"['selalu', 'kalah', 'sampai', 'turun', 'bintang', 'bodo', 'amat']","[('selalu',), ('kalah',), ('sampai',), ('turun',), ('bintang',), ('bodo',), ('amat',)]"
"['beri', 'pacar', 'ngotak', 'pacar', 'bot', 'gila', 'ish']","[('beri',), ('pacar',), ('ngotak',), ('pacar',), ('bot',), ('gila',), ('ish',)]"
"['sudah', 'bagus', 'sekadar', 'saran', 'cinta', 'studios', 'usahain', 'update', 'guna', 'jangan', 'terlalu', 'besar', 'banyak', 'keluh', 'banyak', 'kuras', 'semenjak', 'update', 'tolong', 'jangan', 'terlalu', 'banyak', 'makan', 'kasihan', 'ken', 'halang', 'device']","[('sudah',), ('bagus',), ('sekadar',), ('saran',), ('cinta',), ('studios',), ('usahain',), ('update',), ('guna',), ('jangan',), ('terlalu',), ('besar',), ('banyak',), ('keluh',), ('banyak',), ('kuras',), ('semenjak',), ('update',), ('tolong',), ('jangan',), ('terlalu',), ('banyak',), ('makan',), ('kasihan',), ('ken',), ('halang',), ('device',)]"
"['sudah', 'mantap', 'performa', 'mantap', 'kualitas', 'skin', 'or', 'mantap', 'neko', 'rata', 'kiri', 'kentang', 'lancar', 'brutal', 'event', 'gausah', 'tanya', 'mantap', 'abizz', 'kritik', 'dev', 'ntah', 'knpa', 'mabar', 'teman', 'ping', 'buruk', 'naik', 'turun', 'an', 'sumpah', 'ganggu', 'bngt', 'posisi', 'aman', 'jarang', 'buruk']","[('sudah',), ('mantap',), ('performa',), ('mantap',), ('kualitas',), ('skin',), ('or',), ('mantap',), ('neko',), ('rata',), ('kiri',), ('kentang',), ('lancar',), ('brutal',), ('event',), ('gausah',), ('tanya',), ('mantap',), ('abizz',), ('kritik',), ('dev',), ('ntah',), ('knpa',), ('mabar',), ('teman',), ('ping',), ('buruk',), ('naik',), ('turun',), ('an',), ('sumpah',), ('ganggu',), ('bngt',), ('posisi',), ('aman',), ('jarang',), ('buruk',)]"
['bagus'],"[('bagus',)]"
"['skin', 'banyak']","[('skin',), ('banyak',)]"
['keren'],"[('keren',)]"
"['izin', 'comeback', 'minimal']","[('izin',), ('comeback',), ('minimal',)]"
"['cukup', 'tarik']","[('cukup',), ('tarik',)]"
"['lelah', 'algoritma', 'habis', 'winstreak', 'terbit', 'losestreak', 'kadang', 'winlosewinlose', 'capek', 'malam', 'cuma', 'nambah', 'bintang']","[('lelah',), ('algoritma',), ('habis',), ('winstreak',), ('terbit',), ('losestreak',), ('kadang',), ('winlosewinlose',), ('capek',), ('malam',), ('cuma',), ('nambah',), ('bintang',)]"
"['tolong', 'report', 'ubah', 'ajah', 'sekarang', 'guna', 'banyak', 'anomali', 'jelas', 'kelar', 'report', 'kena', 'report', 'sluruhan', 'bagus', 'banget', 'banyak', 'event', 'skin', 'gratis', 'ajah', 'saran', 'tolong', 'report', 'ubah', 'ajah']","[('tolong',), ('report',), ('ubah',), ('ajah',), ('sekarang',), ('guna',), ('banyak',), ('anomali',), ('jelas',), ('kelar',), ('report',), ('kena',), ('report',), ('sluruhan',), ('bagus',), ('banget',), ('banyak',), ('event',), ('skin',), ('gratis',), ('ajah',), ('saran',), ('tolong',), ('report',), ('ubah',), ('ajah',)]"
"['bagus', 'bahasa', 'lumayan', 'gaul', 'baik', 'pernah']","[('bagus',), ('bahasa',), ('lumayan',), ('gaul',), ('baik',), ('pernah',)]"
"['seru', 'tarik']","[('seru',), ('tarik',)]"
"['lumayan', 'seru', 'ketimbang']","[('lumayan',), ('seru',), ('ketimbang',)]"
"['rusak', 'noob', 'sampai', 'gm', 'best']","[('rusak',), ('noob',), ('sampai',), ('gm',), ('best',)]"
"['walau', 'stres', 'sukadisitulah', 'letak', 'asiknya']","[('walau',), ('stres',), ('sukadisitulah',), ('letak',), ('asiknya',)]"
"['gimana', 'beri', 'kode', 'kirim', 'sosial', 'sensor']","[('gimana',), ('beri',), ('kode',), ('kirim',), ('sosial',), ('sensor',)]"
"['anj', 'lain', 'lag', 'lag', 'banget', 'loading', 'lama', 'banget', 'kesel', 'emosi']","[('anj',), ('lain',), ('lag',), ('lag',), ('banget',), ('loading',), ('lama',), ('banget',), ('kesel',), ('emosi',)]"
"['gemnya', 'haram']","[('gemnya',), ('haram',)]"
"['sinyal', 'full', 'mesti', 'lag']","[('sinyal',), ('full',), ('mesti',), ('lag',)]"
"['buruk', 'mending']","[('buruk',), ('mending',)]"
"['gila', 'cuy', 'keren', 'cuma', 'kentang', 'lag']","[('gila',), ('cuy',), ('keren',), ('cuma',), ('kentang',), ('lag',)]"
"['ken', 'memori', 'cukup', 'lag']","[('ken',), ('memori',), ('cukup',), ('lag',)]"
"['seru', 'buruk', 'pay', 'win', 'mending', 'legends', 'buruk', 'jangan', 'donload', 'guys']","[('seru',), ('buruk',), ('pay',), ('win',), ('mending',), ('legends',), ('buruk',), ('jangan',), ('donload',), ('guys',)]"
"['hahaha', 'copyan', 'ge', 'deuh', 'sgala', 'pjang', 'iklan', 'wkwkw']","[('hahaha',), ('copyan',), ('ge',), ('deuh',), ('sgala',), ('pjang',), ('iklan',), ('wkwkw',)]"
"['enggak', 'suka', 'bintang', 'proteksi', 'poin', 'tetap', 'turun', 'bintang', 'aman', 'minimal', 'lebih', 'suka', 'bintang', 'lama']","[('enggak',), ('suka',), ('bintang',), ('proteksi',), ('poin',), ('tetap',), ('turun',), ('bintang',), ('aman',), ('minimal',), ('lebih',), ('suka',), ('bintang',), ('lama',)]"
['enak'],"[('enak',)]"
"['dlu', 'kya', 'kluar', 'sndri', 'parah', 'buruk']","[('dlu',), ('kya',), ('kluar',), ('sndri',), ('parah',), ('buruk',)]"
"['event', 'cukup', 'sulit', 'jatuhin', 'kartu', 'tari', 'sampai', 'kelar', 'event', 'pernah', 'mohon', 'mudah', 'trimaksih']","[('event',), ('cukup',), ('sulit',), ('jatuhin',), ('kartu',), ('tari',), ('sampai',), ('kelar',), ('event',), ('pernah',), ('mohon',), ('mudah',), ('trimaksih',)]"
"['suka', 'skill', 'mantap', 'mantap', 'bahkan', 'mvp']","[('suka',), ('skill',), ('mantap',), ('mantap',), ('bahkan',), ('mvp',)]"
['nice'],"[('nice',)]"
"['update', 'happy', 'mod', 'king', 'happy', 'mod']","[('update',), ('happy',), ('mod',), ('king',), ('happy',), ('mod',)]"
[],[]
"['grafik', 'tolong', 'tingkat']","[('grafik',), ('tolong',), ('tingkat',)]"
['seru'],"[('seru',)]"
"['tolong', 'rendahin']","[('tolong',), ('rendahin',)]"
"['benci', 'update', 'seaon', 'stuck', 'loding', 'screen', 'masuk', 'dalam', 'sampai', 'reinstall', 'benar', 'rugi']","[('benci',), ('update',), ('seaon',), ('stuck',), ('loding',), ('screen',), ('masuk',), ('dalam',), ('sampai',), ('reinstall',), ('benar',), ('rugi',)]"
"['tolol', 'b', 'mvpkonyol']","[('tolol',), ('b',), ('mvpkonyol',)]"
"['baik', 'jangan', 'cuma', 'skin', 'gacha', 'melulu', 'peduli', 'tetap', 'stay']","[('baik',), ('jangan',), ('cuma',), ('skin',), ('gacha',), ('melulu',), ('peduli',), ('tetap',), ('stay',)]"
"['tolong', 'fix', 'bagi', 'fps', 'dimensity', 'ultra', 'biasa', 'fps', 'maks', 'kenapa', 'lock', 'fps']","[('tolong',), ('fix',), ('bagi',), ('fps',), ('dimensity',), ('ultra',), ('biasa',), ('fps',), ('maks',), ('kenapa',), ('lock',), ('fps',)]"
"['banyak', 'bug']","[('banyak',), ('bug',)]"
"['gj', 'merah', 'kalah', 'mlu', 'biru', 'menang', 'knp', 'merah', 'kalah']","[('gj',), ('merah',), ('kalah',), ('mlu',), ('biru',), ('menang',), ('knp',), ('merah',), ('kalah',)]"
"['baik', 'seluruh', 'dunia']","[('baik',), ('seluruh',), ('dunia',)]"
"['barang', 'bagus']","[('barang',), ('bagus',)]"
"['tolong', 'management', 'masa', 'kalah', 'nambah', 'bintang', 'sedang', 'menang', 'kadang', 'nambah', 'bintang', 'kesel', 'jengkel', 'tolong', 'baik']","[('tolong',), ('management',), ('masa',), ('kalah',), ('nambah',), ('bintang',), ('sedang',), ('menang',), ('kadang',), ('nambah',), ('bintang',), ('kesel',), ('jengkel',), ('tolong',), ('baik',)]"
"['mana', 'masuk', 'tanding', 'pakek', 'wifi', 'selalu', 'wifi', 'lancar', 'biasa', 'rnk', 'tolong', 'baik', 'bintang', 'satu']","[('mana',), ('masuk',), ('tanding',), ('pakek',), ('wifi',), ('selalu',), ('wifi',), ('lancar',), ('biasa',), ('rnk',), ('tolong',), ('baik',), ('bintang',), ('satu',)]"
['sampah'],"[('sampah',)]"
"['sudah', 'bagus', 'selalu', 'notih', 'server', 'merespon', 'ngeselin']","[('sudah',), ('bagus',), ('selalu',), ('notih',), ('server',), ('merespon',), ('ngeselin',)]"
"['makin', 'makin', 'menjadijadi', 'kocak', 'pensiun', 'begitu']","[('makin',), ('makin',), ('menjadijadi',), ('kocak',), ('pensiun',), ('begitu',)]"
"['keren', 'kalah', 'bagus', 'tolong', 'bug', 'y', 'hilang', 'cukup', 'terimakasih']","[('keren',), ('kalah',), ('bagus',), ('tolong',), ('bug',), ('y',), ('hilang',), ('cukup',), ('terimakasih',)]"
"['ganti', 'happy', 'coin', 'ganti']","[('ganti',), ('happy',), ('coin',), ('ganti',)]"
"['bagus', 'tolong', 'diturunin', 'sedikit', 'donk', 'kentang', 'kadang', 'muat', 'tolong', 'ringan', 'hapus', 'file', 'dalam', 'nurun', 'tetap', 'gb']","[('bagus',), ('tolong',), ('diturunin',), ('sedikit',), ('donk',), ('kentang',), ('kadang',), ('muat',), ('tolong',), ('ringan',), ('hapus',), ('file',), ('dalam',), ('nurun',), ('tetap',), ('gb',)]"
['deeh'],"[('deeh',)]"
"['kenapa', 'ngga', 'jelas', 'mana', 'selalu', 'musuh', 'jago']","[('kenapa',), ('ngga',), ('jelas',), ('mana',), ('selalu',), ('musuh',), ('jago',)]"
['ganti'],"[('ganti',)]"
"['baik', 'hobi', 'ngebahagiain', 'efek', 'kualitas', 'bagus', 'skin', 'mahal', 'gratis', 'musuh', 'imbang', 'jago', 'enggak', 'beban', 'engga', 'top', 'up', 'duit', 'kurang', 'pokok', 'terimakasih', 'banget', 'developer', 'terbest', 'bintang']","[('baik',), ('hobi',), ('ngebahagiain',), ('efek',), ('kualitas',), ('bagus',), ('skin',), ('mahal',), ('gratis',), ('musuh',), ('imbang',), ('jago',), ('enggak',), ('beban',), ('engga',), ('top',), ('up',), ('duit',), ('kurang',), ('pokok',), ('terimakasih',), ('banget',), ('developer',), ('terbest',), ('bintang',)]"
"['sekarang', 'darksystem', 'anjeng']","[('sekarang',), ('darksystem',), ('anjeng',)]"
['sampah'],"[('sampah',)]"
"['kenapa', 'suka', 'keluar', 'sendiri', 'bagus', 'spek', 'kentang', 'amat', 'keluar', 'sendiri', 'suka', 'bete', 'push']","[('kenapa',), ('suka',), ('keluar',), ('sendiri',), ('bagus',), ('spek',), ('kentang',), ('amat',), ('keluar',), ('sendiri',), ('suka',), ('bete',), ('push',)]"
"['developer', 'perhati', 'masuk']","[('developer',), ('perhati',), ('masuk',)]"
"['bintang', 'ajg', 'mackingnya', 'jelek', 'babi']","[('bintang',), ('ajg',), ('mackingnya',), ('jelek',), ('babi',)]"
['keren'],"[('keren',)]"
"['sampah', 'hina', 'banget', 'pentol', 'pinoy', 'asu', 'capek', 'mending', 'pisah', 'ph']","[('sampah',), ('hina',), ('banget',), ('pentol',), ('pinoy',), ('asu',), ('capek',), ('mending',), ('pisah',), ('ph',)]"
"['tolol', 'banyak', 'spell', 'guna', 'paling', 'berisik']","[('tolol',), ('banyak',), ('spell',), ('guna',), ('paling',), ('berisik',)]"
"['sudah', 'oke', 'logis', 'musuh', 'kuat', 'tolong', 'baik']","[('sudah',), ('oke',), ('logis',), ('musuh',), ('kuat',), ('tolong',), ('baik',)]"
"['keren', 'event', 'banyak', 'skin', 'gratis', 'banyak', 'mantep', 'mending', 'hapus', 'kikir', 'cok', 'ls', 'mvp', 'lose', 'cuma', 'winmending', 'sudah', 'aseli', 'mah', 'saran', 'tuntut', 'tu', 'moontod', 'banyak', 'plagiat', 'cik', 'aseli']","[('keren',), ('event',), ('banyak',), ('skin',), ('gratis',), ('banyak',), ('mantep',), ('mending',), ('hapus',), ('kikir',), ('cok',), ('ls',), ('mvp',), ('lose',), ('cuma',), ('winmending',), ('sudah',), ('aseli',), ('mah',), ('saran',), ('tuntut',), ('tu',), ('moontod',), ('banyak',), ('plagiat',), ('cik',), ('aseli',)]"
['bagus'],"[('bagus',)]"
"['kampanh', 'suka', 'lag']","[('kampanh',), ('suka',), ('lag',)]"
"['kenapa', 'animasi', 'gerak', 'profil', 'maupun', 'diem']","[('kenapa',), ('animasi',), ('gerak',), ('profil',), ('maupun',), ('diem',)]"
"['bagus', 'sesuai', 'gera', 'karakter', 'agak', 'patah', 'patah', 'gitu', 'gera', 'terimakasih']","[('bagus',), ('sesuai',), ('gera',), ('karakter',), ('agak',), ('patah',), ('patah',), ('gitu',), ('gera',), ('terimakasih',)]"
"['jauh', 'jika', 'banding', 'vainofglory']","[('jauh',), ('jika',), ('banding',), ('vainofglory',)]"
['bagus'],"[('bagus',)]"
"['cukup', 'bagus', 'masuk', 'lama', 'tunggu']","[('cukup',), ('bagus',), ('masuk',), ('lama',), ('tunggu',)]"
"['keren', 'butuh', 'strategi', 'mateng', 'asal', 'nabrak', 'playernya', 'ngetroll', 'kya']","[('keren',), ('butuh',), ('strategi',), ('mateng',), ('asal',), ('nabrak',), ('playernya',), ('ngetroll',), ('kya',)]"
['suka'],"[('suka',)]"
"['matchingnya', 'jelek']","[('matchingnya',), ('jelek',)]"
"['kantau', 'jelek', 'buruk', 'banget', 'banyak', 'banget', 'uras', 'paket', 'sehingga', 'mendownload', 'butuh', 'paket', 'banyak', 'tolong', 'baik', 'jelek', 'tolol', 'banyak', 'pokok', 'bagus', 'buruk']","[('kantau',), ('jelek',), ('buruk',), ('banget',), ('banyak',), ('banget',), ('uras',), ('paket',), ('sehingga',), ('mendownload',), ('butuh',), ('paket',), ('banyak',), ('tolong',), ('baik',), ('jelek',), ('tolol',), ('banyak',), ('pokok',), ('bagus',), ('buruk',)]"
"['jelek', 'banyak', 'bag', 'putus', 'putus', 'makan', 'banyak', 'berfikir', 'hapus', 'mending', 'legends', 'nguras', 'dalam']","[('jelek',), ('banyak',), ('bag',), ('putus',), ('putus',), ('makan',), ('banyak',), ('berfikir',), ('hapus',), ('mending',), ('legends',), ('nguras',), ('dalam',)]"
"['anjinkada', 'atur', 'gold', 'masuk', 'diamondmana', 'musuh', 'diamond', 'semua', 'd', 'goldlogikanya', 'pay', 'win', 'anjinkkagak', 'imbang', 'babi', 'rusak', 'jangan', 'selalu', 'bilang', 'cocok', 'masinghalah', 'bacot', 'doangkami', 'bukan', 'lo', 'developer']","[('anjinkada',), ('atur',), ('gold',), ('masuk',), ('diamondmana',), ('musuh',), ('diamond',), ('semua',), ('d',), ('goldlogikanya',), ('pay',), ('win',), ('anjinkkagak',), ('imbang',), ('babi',), ('rusak',), ('jangan',), ('selalu',), ('bilang',), ('cocok',), ('masinghalah',), ('bacot',), ('doangkami',), ('bukan',), ('lo',), ('developer',)]"
"['mantap', 'seru']","[('mantap',), ('seru',)]"
"['jembot', 'noob', 'kadang', 'buta', 'kadang', 'jg', 'ketemu', 'mabar', 'enak', 'jg', 'benar', 'kadang', 'satuin', 'bot', 'pula', 'jembot']","[('jembot',), ('noob',), ('kadang',), ('buta',), ('kadang',), ('jg',), ('ketemu',), ('mabar',), ('enak',), ('jg',), ('benar',), ('kadang',), ('satuin',), ('bot',), ('pula',), ('jembot',)]"
['jelas'],"[('jelas',)]"
"['bagus', 'segi', 'skin', 'item', 'dll', 'moga', 'developer', 'ide', 'ide', 'baru', 'baru', 'dll', 'biar', 'salah', 'satu', 'dg', 'paling', 'gerguna', 'niru', 'bintang', 'anggota', 'developer', 'lain', 'terimakasih']","[('bagus',), ('segi',), ('skin',), ('item',), ('dll',), ('moga',), ('developer',), ('ide',), ('ide',), ('baru',), ('baru',), ('dll',), ('biar',), ('salah',), ('satu',), ('dg',), ('paling',), ('gerguna',), ('niru',), ('bintang',), ('anggota',), ('developer',), ('lain',), ('terimakasih',)]"
"['games', 'bagus', 'keluh', 'masalah', 'selalu', 'lot', 'log', 'tolong', 'baik']","[('games',), ('bagus',), ('keluh',), ('masalah',), ('selalu',), ('lot',), ('log',), ('tolong',), ('baik',)]"
"['sekian', 'benarbenar', 'kecewa', 'bukan', 'seru', 'tetapi', 'stres', 'panjang', 'alas', 'cocok', 'antara', 'ranked', 'peak', 'turnamen', 'imbang', 'pihak', 'bilang', 'sudah', 'sesuai', 'sesuai', 'harap', 'playernya', 'derita', 'benarbenar', 'paling', 'parah', 'peak', 'turnamen', 'imbang', 'benarbenar', 'kecewa']","[('sekian',), ('benarbenar',), ('kecewa',), ('bukan',), ('seru',), ('tetapi',), ('stres',), ('panjang',), ('alas',), ('cocok',), ('antara',), ('ranked',), ('peak',), ('turnamen',), ('imbang',), ('pihak',), ('bilang',), ('sudah',), ('sesuai',), ('sesuai',), ('harap',), ('playernya',), ('derita',), ('benarbenar',), ('paling',), ('parah',), ('peak',), ('turnamen',), ('imbang',), ('benarbenar',), ('kecewa',)]"
"['bro', 'bagaimana', 'nomor', 'hape', 'akun', 'level', 'taut', 'nomor', 'hape', 'akun', 'gimana', 'kendala', 'hal', 'sebut']","[('bro',), ('bagaimana',), ('nomor',), ('hape',), ('akun',), ('level',), ('taut',), ('nomor',), ('hape',), ('akun',), ('gimana',), ('kendala',), ('hal',), ('sebut',)]"
