stopwords_removed,unigrams_hok
"['up', 'harga', 'roamer', 'hitung', 'adil', 'bahkan', 'dg', 'samasama', 'dg', 'statistik', 'jauh', 'atas', 'lain', 'roamer', 'tdk', 'dominan', 'mvp', 'its', 'not', 'fair', 'for', 'programmer', 'hitung', 'mu', 'kurang', 'akurat', 'kda', 'selisih', 'jauh', 'unggul', 'kuasa', 'unggul', 'damage', 'terimakasih', 'unggul', 'dominan', 'non', 'roamer', 'mvp']","[('up',), ('harga',), ('roamer',), ('hitung',), ('adil',), ('bahkan',), ('dg',), ('samasama',), ('dg',), ('statistik',), ('jauh',), ('atas',), ('lain',), ('roamer',), ('tdk',), ('dominan',), ('mvp',), ('its',), ('not',), ('fair',), ('for',), ('programmer',), ('hitung',), ('mu',), ('kurang',), ('akurat',), ('kda',), ('selisih',), ('jauh',), ('unggul',), ('kuasa',), ('unggul',), ('damage',), ('terimakasih',), ('unggul',), ('dominan',), ('non',), ('roamer',), ('mvp',)]"
"['tolong', 'matching', 'rusak', 'masa', 'ketemu', 'philipina', 'mesti', 'kalah']","[('tolong',), ('matching',), ('rusak',), ('masa',), ('ketemu',), ('philipina',), ('mesti',), ('kalah',)]"
"['baik', 'walau', 'lawan', 'susah']","[('baik',), ('walau',), ('lawan',), ('susah',)]"
['adil'],"[('adil',)]"
"['akun', 'kena', 'hack']","[('akun',), ('kena',), ('hack',)]"
['seru'],"[('seru',)]"
"['kenapa', 'mental', 'keluar', 'sendiri', 'masuk', 'lama', 'masuk', 'afk', 'segaja']","[('kenapa',), ('mental',), ('keluar',), ('sendiri',), ('masuk',), ('lama',), ('masuk',), ('afk',), ('segaja',)]"
"['cacat', 'lawan', 'bot', 'teman', 'bot', 'rusak', 'uninstal']","[('cacat',), ('lawan',), ('bot',), ('teman',), ('bot',), ('rusak',), ('uninstal',)]"
"['bagus', 'kurang', 'adil', 'bagi', 'akhir', 'kda', 'kurang', 'arti']","[('bagus',), ('kurang',), ('adil',), ('bagi',), ('akhir',), ('kda',), ('kurang',), ('arti',)]"
"['mirip', 'mobil']","[('mirip',), ('mobil',)]"
