stopwords_removed,bigrams_hok
"['ganti', 'happy', 'coin', 'ganti']","[('ganti', 'happy'), ('happy', 'coin'), ('coin', 'ganti')]"
"['bagus', 'tolong', 'diturunin', 'sedikit', 'donk', 'kentang', 'kadang', 'muat', 'tolong', 'ringan', 'hapus', 'file', 'dalam', 'nurun', 'tetap', 'gb']","[('bagus', 'tolong'), ('tolong', 'diturunin'), ('diturunin', 'sedikit'), ('sedikit', 'donk'), ('donk', 'kentang'), ('kentang', 'kadang'), ('kadang', 'muat'), ('muat', 'tolong'), ('tolong', 'ringan'), ('ringan', 'hapus'), ('hapus', 'file'), ('file', 'dalam'), ('dalam', 'nurun'), ('nurun', 'tetap'), ('tetap', 'gb')]"
['deeh'],[]
"['kenapa', 'ngga', 'jelas', 'mana', 'selalu', 'musuh', 'jago']","[('kenapa', 'ngga'), ('ngga', 'jelas'), ('jelas', 'mana'), ('mana', 'selalu'), ('selalu', 'musuh'), ('musuh', 'jago')]"
['ganti'],[]
"['baik', 'hobi', 'ngebahagiain', 'efek', 'kualitas', 'bagus', 'skin', 'mahal', 'gratis', 'musuh', 'imbang', 'jago', 'enggak', 'beban', 'engga', 'top', 'up', 'duit', 'kurang', 'pokok', 'terimakasih', 'banget', 'developer', 'terbest', 'bintang']","[('baik', 'hobi'), ('hobi', 'ngebahagiain'), ('ngebahagiain', 'efek'), ('efek', 'kualitas'), ('kualitas', 'bagus'), ('bagus', 'skin'), ('skin', 'mahal'), ('mahal', 'gratis'), ('gratis', 'musuh'), ('musuh', 'imbang'), ('imbang', 'jago'), ('jago', 'enggak'), ('enggak', 'beban'), ('beban', 'engga'), ('engga', 'top'), ('top', 'up'), ('up', 'duit'), ('duit', 'kurang'), ('kurang', 'pokok'), ('pokok', 'terimakasih'), ('terimakasih', 'banget'), ('banget', 'developer'), ('developer', 'terbest'), ('terbest', 'bintang')]"
"['sekarang', 'darksystem', 'anjeng']","[('sekarang', 'darksystem'), ('darksystem', 'anjeng')]"
['sampah'],[]
"['kenapa', 'suka', 'keluar', 'sendiri', 'bagus', 'spek', 'kentang', 'amat', 'keluar', 'sendiri', 'suka', 'bete', 'push']","[('kenapa', 'suka'), ('suka', 'keluar'), ('keluar', 'sendiri'), ('sendiri', 'bagus'), ('bagus', 'spek'), ('spek', 'kentang'), ('kentang', 'amat'), ('amat', 'keluar'), ('keluar', 'sendiri'), ('sendiri', 'suka'), ('suka', 'bete'), ('bete', 'push')]"
"['developer', 'perhati', 'masuk']","[('developer', 'perhati'), ('perhati', 'masuk')]"
"['bintang', 'ajg', 'mackingnya', 'jelek', 'babi']","[('bintang', 'ajg'), ('ajg', 'mackingnya'), ('mackingnya', 'jelek'), ('jelek', 'babi')]"
['keren'],[]
"['sampah', 'hina', 'banget', 'pentol', 'pinoy', 'asu', 'capek', 'mending', 'pisah', 'ph']","[('sampah', 'hina'), ('hina', 'banget'), ('banget', 'pentol'), ('pentol', 'pinoy'), ('pinoy', 'asu'), ('asu', 'capek'), ('capek', 'mending'), ('mending', 'pisah'), ('pisah', 'ph')]"
"['tolol', 'banyak', 'spell', 'guna', 'paling', 'berisik']","[('tolol', 'banyak'), ('banyak', 'spell'), ('spell', 'guna'), ('guna', 'paling'), ('paling', 'berisik')]"
"['sudah', 'oke', 'logis', 'musuh', 'kuat', 'tolong', 'baik']","[('sudah', 'oke'), ('oke', 'logis'), ('logis', 'musuh'), ('musuh', 'kuat'), ('kuat', 'tolong'), ('tolong', 'baik')]"
"['keren', 'event', 'banyak', 'skin', 'gratis', 'banyak', 'mantep', 'mending', 'hapus', 'kikir', 'cok', 'ls', 'mvp', 'lose', 'cuma', 'winmending', 'sudah', 'aseli', 'mah', 'saran', 'tuntut', 'tu', 'moontod', 'banyak', 'plagiat', 'cik', 'aseli']","[('keren', 'event'), ('event', 'banyak'), ('banyak', 'skin'), ('skin', 'gratis'), ('gratis', 'banyak'), ('banyak', 'mantep'), ('mantep', 'mending'), ('mending', 'hapus'), ('hapus', 'kikir'), ('kikir', 'cok'), ('cok', 'ls'), ('ls', 'mvp'), ('mvp', 'lose'), ('lose', 'cuma'), ('cuma', 'winmending'), ('winmending', 'sudah'), ('sudah', 'aseli'), ('aseli', 'mah'), ('mah', 'saran'), ('saran', 'tuntut'), ('tuntut', 'tu'), ('tu', 'moontod'), ('moontod', 'banyak'), ('banyak', 'plagiat'), ('plagiat', 'cik'), ('cik', 'aseli')]"
['bagus'],[]
"['kampanh', 'suka', 'lag']","[('kampanh', 'suka'), ('suka', 'lag')]"
"['kenapa', 'animasi', 'gerak', 'profil', 'maupun', 'diem']","[('kenapa', 'animasi'), ('animasi', 'gerak'), ('gerak', 'profil'), ('profil', 'maupun'), ('maupun', 'diem')]"
"['bagus', 'sesuai', 'gera', 'karakter', 'agak', 'patah', 'patah', 'gitu', 'gera', 'terimakasih']","[('bagus', 'sesuai'), ('sesuai', 'gera'), ('gera', 'karakter'), ('karakter', 'agak'), ('agak', 'patah'), ('patah', 'patah'), ('patah', 'gitu'), ('gitu', 'gera'), ('gera', 'terimakasih')]"
"['jauh', 'jika', 'banding', 'vainofglory']","[('jauh', 'jika'), ('jika', 'banding'), ('banding', 'vainofglory')]"
['bagus'],[]
"['cukup', 'bagus', 'masuk', 'lama', 'tunggu']","[('cukup', 'bagus'), ('bagus', 'masuk'), ('masuk', 'lama'), ('lama', 'tunggu')]"
"['keren', 'butuh', 'strategi', 'mateng', 'asal', 'nabrak', 'playernya', 'ngetroll', 'kya']","[('keren', 'butuh'), ('butuh', 'strategi'), ('strategi', 'mateng'), ('mateng', 'asal'), ('asal', 'nabrak'), ('nabrak', 'playernya'), ('playernya', 'ngetroll'), ('ngetroll', 'kya')]"
['suka'],[]
"['matchingnya', 'jelek']","[('matchingnya', 'jelek')]"
"['kantau', 'jelek', 'buruk', 'banget', 'banyak', 'banget', 'uras', 'paket', 'sehingga', 'mendownload', 'butuh', 'paket', 'banyak', 'tolong', 'baik', 'jelek', 'tolol', 'banyak', 'pokok', 'bagus', 'buruk']","[('kantau', 'jelek'), ('jelek', 'buruk'), ('buruk', 'banget'), ('banget', 'banyak'), ('banyak', 'banget'), ('banget', 'uras'), ('uras', 'paket'), ('paket', 'sehingga'), ('sehingga', 'mendownload'), ('mendownload', 'butuh'), ('butuh', 'paket'), ('paket', 'banyak'), ('banyak', 'tolong'), ('tolong', 'baik'), ('baik', 'jelek'), ('jelek', 'tolol'), ('tolol', 'banyak'), ('banyak', 'pokok'), ('pokok', 'bagus'), ('bagus', 'buruk')]"
"['jelek', 'banyak', 'bag', 'putus', 'putus', 'makan', 'banyak', 'berfikir', 'hapus', 'mending', 'legends', 'nguras', 'dalam']","[('jelek', 'banyak'), ('banyak', 'bag'), ('bag', 'putus'), ('putus', 'putus'), ('putus', 'makan'), ('makan', 'banyak'), ('banyak', 'berfikir'), ('berfikir', 'hapus'), ('hapus', 'mending'), ('mending', 'legends'), ('legends', 'nguras'), ('nguras', 'dalam')]"
"['anjinkada', 'atur', 'gold', 'masuk', 'diamondmana', 'musuh', 'diamond', 'semua', 'd', 'goldlogikanya', 'pay', 'win', 'anjinkkagak', 'imbang', 'babi', 'rusak', 'jangan', 'selalu', 'bilang', 'cocok', 'masinghalah', 'bacot', 'doangkami', 'bukan', 'lo', 'developer']","[('anjinkada', 'atur'), ('atur', 'gold'), ('gold', 'masuk'), ('masuk', 'diamondmana'), ('diamondmana', 'musuh'), ('musuh', 'diamond'), ('diamond', 'semua'), ('semua', 'd'), ('d', 'goldlogikanya'), ('goldlogikanya', 'pay'), ('pay', 'win'), ('win', 'anjinkkagak'), ('anjinkkagak', 'imbang'), ('imbang', 'babi'), ('babi', 'rusak'), ('rusak', 'jangan'), ('jangan', 'selalu'), ('selalu', 'bilang'), ('bilang', 'cocok'), ('cocok', 'masinghalah'), ('masinghalah', 'bacot'), ('bacot', 'doangkami'), ('doangkami', 'bukan'), ('bukan', 'lo'), ('lo', 'developer')]"
"['mantap', 'seru']","[('mantap', 'seru')]"
"['jembot', 'noob', 'kadang', 'buta', 'kadang', 'jg', 'ketemu', 'mabar', 'enak', 'jg', 'benar', 'kadang', 'satuin', 'bot', 'pula', 'jembot']","[('jembot', 'noob'), ('noob', 'kadang'), ('kadang', 'buta'), ('buta', 'kadang'), ('kadang', 'jg'), ('jg', 'ketemu'), ('ketemu', 'mabar'), ('mabar', 'enak'), ('enak', 'jg'), ('jg', 'benar'), ('benar', 'kadang'), ('kadang', 'satuin'), ('satuin', 'bot'), ('bot', 'pula'), ('pula', 'jembot')]"
['jelas'],[]
"['bagus', 'segi', 'skin', 'item', 'dll', 'moga', 'developer', 'ide', 'ide', 'baru', 'baru', 'dll', 'biar', 'salah', 'satu', 'dg', 'paling', 'gerguna', 'niru', 'bintang', 'anggota', 'developer', 'lain', 'terimakasih']","[('bagus', 'segi'), ('segi', 'skin'), ('skin', 'item'), ('item', 'dll'), ('dll', 'moga'), ('moga', 'developer'), ('developer', 'ide'), ('ide', 'ide'), ('ide', 'baru'), ('baru', 'baru'), ('baru', 'dll'), ('dll', 'biar'), ('biar', 'salah'), ('salah', 'satu'), ('satu', 'dg'), ('dg', 'paling'), ('paling', 'gerguna'), ('gerguna', 'niru'), ('niru', 'bintang'), ('bintang', 'anggota'), ('anggota', 'developer'), ('developer', 'lain'), ('lain', 'terimakasih')]"
"['games', 'bagus', 'keluh', 'masalah', 'selalu', 'lot', 'log', 'tolong', 'baik']","[('games', 'bagus'), ('bagus', 'keluh'), ('keluh', 'masalah'), ('masalah', 'selalu'), ('selalu', 'lot'), ('lot', 'log'), ('log', 'tolong'), ('tolong', 'baik')]"
"['sekian', 'benarbenar', 'kecewa', 'bukan', 'seru', 'tetapi', 'stres', 'panjang', 'alas', 'cocok', 'antara', 'ranked', 'peak', 'turnamen', 'imbang', 'pihak', 'bilang', 'sudah', 'sesuai', 'sesuai', 'harap', 'playernya', 'derita', 'benarbenar', 'paling', 'parah', 'peak', 'turnamen', 'imbang', 'benarbenar', 'kecewa']","[('sekian', 'benarbenar'), ('benarbenar', 'kecewa'), ('kecewa', 'bukan'), ('bukan', 'seru'), ('seru', 'tetapi'), ('tetapi', 'stres'), ('stres', 'panjang'), ('panjang', 'alas'), ('alas', 'cocok'), ('cocok', 'antara'), ('antara', 'ranked'), ('ranked', 'peak'), ('peak', 'turnamen'), ('turnamen', 'imbang'), ('imbang', 'pihak'), ('pihak', 'bilang'), ('bilang', 'sudah'), ('sudah', 'sesuai'), ('sesuai', 'sesuai'), ('sesuai', 'harap'), ('harap', 'playernya'), ('playernya', 'derita'), ('derita', 'benarbenar'), ('benarbenar', 'paling'), ('paling', 'parah'), ('parah', 'peak'), ('peak', 'turnamen'), ('turnamen', 'imbang'), ('imbang', 'benarbenar'), ('benarbenar', 'kecewa')]"
"['bro', 'bagaimana', 'nomor', 'hape', 'akun', 'level', 'taut', 'nomor', 'hape', 'akun', 'gimana', 'kendala', 'hal', 'sebut']","[('bro', 'bagaimana'), ('bagaimana', 'nomor'), ('nomor', 'hape'), ('hape', 'akun'), ('akun', 'level'), ('level', 'taut'), ('taut', 'nomor'), ('nomor', 'hape'), ('hape', 'akun'), ('akun', 'gimana'), ('gimana', 'kendala'), ('kendala', 'hal'), ('hal', 'sebut')]"
"['ho', 'iya', 'kenapa', 'burung', 'gold', 'len', 'paun', 'spaun', 'uda', 'matiin', 'paun', 'nyelesain', 'tutorial', 'burung', 'vinik', 'ka', 'paun', 'spaun', 'kanapaya', 'per', 'baikin']","[('ho', 'iya'), ('iya', 'kenapa'), ('kenapa', 'burung'), ('burung', 'gold'), ('gold', 'len'), ('len', 'paun'), ('paun', 'spaun'), ('spaun', 'uda'), ('uda', 'matiin'), ('matiin', 'paun'), ('paun', 'nyelesain'), ('nyelesain', 'tutorial'), ('tutorial', 'burung'), ('burung', 'vinik'), ('vinik', 'ka'), ('ka', 'paun'), ('paun', 'spaun'), ('spaun', 'kanapaya'), ('kanapaya', 'per'), ('per', 'baikin')]"
"['makin', 'up', 'makin', 'sulit', 'mana', 'baru', 'ajar']","[('makin', 'up'), ('up', 'makin'), ('makin', 'sulit'), ('sulit', 'mana'), ('mana', 'baru'), ('baru', 'ajar')]"
"['tindak', 'lanjut', 'hadap', 'laku', 'trolling', 'mulai', 'point', 'tetap', 'kurang', 'jika', 'jalan', 'yakin', 'banyak', 'tahan', 'tanggap', 'guna']","[('tindak', 'lanjut'), ('lanjut', 'hadap'), ('hadap', 'laku'), ('laku', 'trolling'), ('trolling', 'mulai'), ('mulai', 'point'), ('point', 'tetap'), ('tetap', 'kurang'), ('kurang', 'jika'), ('jika', 'jalan'), ('jalan', 'yakin'), ('yakin', 'banyak'), ('banyak', 'tahan'), ('tahan', 'tanggap'), ('tanggap', 'guna')]"
['keren'],[]
['mamtul'],[]
['oke'],[]
"['ancur', 'nyoba', 'nyoba', 'emosi']","[('ancur', 'nyoba'), ('nyoba', 'nyoba'), ('nyoba', 'emosi')]"
['suka'],[]
['oke'],[]
['keren'],[]
"['very', 'good']","[('very', 'good')]"
['sampah'],[]
['adita'],[]
"['habis', 'update', 'framedrop', 'snapdragon', 'elite', 'bayangin', 'powerfull', 'ngeframe', 'sampai', 'fps', 'otak', 'sial']","[('habis', 'update'), ('update', 'framedrop'), ('framedrop', 'snapdragon'), ('snapdragon', 'elite'), ('elite', 'bayangin'), ('bayangin', 'powerfull'), ('powerfull', 'ngeframe'), ('ngeframe', 'sampai'), ('sampai', 'fps'), ('fps', 'otak'), ('otak', 'sial')]"
"['seru', 'banget']","[('seru', 'banget')]"
"['jelek', 'upadate', 'banyak', 'bug']","[('jelek', 'upadate'), ('upadate', 'banyak'), ('banyak', 'bug')]"
"['bagus', 'bageut', 'co', 'seru']","[('bagus', 'bageut'), ('bageut', 'co'), ('co', 'seru')]"
"['kil', 'banyak', 'mvp', 'mati', 'banyak', 'kil', 'mvp', 'jelas']","[('kil', 'banyak'), ('banyak', 'mvp'), ('mvp', 'mati'), ('mati', 'banyak'), ('banyak', 'kil'), ('kil', 'mvp'), ('mvp', 'jelas')]"
"['iklan', 'darah', 'tinggi']","[('iklan', 'darah'), ('darah', 'tinggi')]"
"['spike', 'iklan', 'ganggu', 'sumpah', 'iklan', 'pasti', 'kalah']","[('spike', 'iklan'), ('iklan', 'ganggu'), ('ganggu', 'sumpah'), ('sumpah', 'iklan'), ('iklan', 'pasti'), ('pasti', 'kalah')]"
[],[]
"['banyak', 'ngikutin', 'aov', 'plagiat', 'kah']","[('banyak', 'ngikutin'), ('ngikutin', 'aov'), ('aov', 'plagiat'), ('plagiat', 'kah')]"
"['tu', 'latih', 'masuk', 'lebih', 'hard']","[('tu', 'latih'), ('latih', 'masuk'), ('masuk', 'lebih'), ('lebih', 'hard')]"
"['pelit', 'matchnya', 'kurang', 'bagus', 'banget', 'bagi', 'susah', 'kadang', 'kadang', 'kadang', 'menang', 'kadang', 'kalah', 'kalah', 'kira', 'satu', 'dua', 'tiga', 'sampai', 'lebih', 'kadang', 'master', 'nyoba', 'diranked', 'mikir', 'gimana', 'kira', 'bintang', 'kurang', 'kalah', 'salah', 'besar', 'jangan', 'pernah', 'nyoba', 'diranked', 'simulasi', 'mikirlah', 'siapa']","[('pelit', 'matchnya'), ('matchnya', 'kurang'), ('kurang', 'bagus'), ('bagus', 'banget'), ('banget', 'bagi'), ('bagi', 'susah'), ('susah', 'kadang'), ('kadang', 'kadang'), ('kadang', 'kadang'), ('kadang', 'menang'), ('menang', 'kadang'), ('kadang', 'kalah'), ('kalah', 'kalah'), ('kalah', 'kira'), ('kira', 'satu'), ('satu', 'dua'), ('dua', 'tiga'), ('tiga', 'sampai'), ('sampai', 'lebih'), ('lebih', 'kadang'), ('kadang', 'master'), ('master', 'nyoba'), ('nyoba', 'diranked'), ('diranked', 'mikir'), ('mikir', 'gimana'), ('gimana', 'kira'), ('kira', 'bintang'), ('bintang', 'kurang'), ('kurang', 'kalah'), ('kalah', 'salah'), ('salah', 'besar'), ('besar', 'jangan'), ('jangan', 'pernah'), ('pernah', 'nyoba'), ('nyoba', 'diranked'), ('diranked', 'simulasi'), ('simulasi', 'mikirlah'), ('mikirlah', 'siapa')]"
"['wei', 'ngotak', 'sedikit', 'masa', 'range', 'gold', 'lawan', 'ngga', 'ngotak', 'temn', 'bego', 'iya', 'lama', 'baru', 'donlod', 'lawa', 'gila']","[('wei', 'ngotak'), ('ngotak', 'sedikit'), ('sedikit', 'masa'), ('masa', 'range'), ('range', 'gold'), ('gold', 'lawan'), ('lawan', 'ngga'), ('ngga', 'ngotak'), ('ngotak', 'temn'), ('temn', 'bego'), ('bego', 'iya'), ('iya', 'lama'), ('lama', 'baru'), ('baru', 'donlod'), ('donlod', 'lawa'), ('lawa', 'gila')]"
['bagus'],[]
['bagus'],[]
"['seru', 'banget', 'mirip', 'legends', 'mudah', 'banget', 'maininnya', 'bagus', 'bagus', 'pentakill', 'nyaa']","[('seru', 'banget'), ('banget', 'mirip'), ('mirip', 'legends'), ('legends', 'mudah'), ('mudah', 'banget'), ('banget', 'maininnya'), ('maininnya', 'bagus'), ('bagus', 'bagus'), ('bagus', 'pentakill'), ('pentakill', 'nyaa')]"
"['tolong', 'baik', 'biar', 'force', 'close']","[('tolong', 'baik'), ('baik', 'biar'), ('biar', 'force'), ('force', 'close')]"
"['jawab', 'ngehabis', 'kuota', 'mana', 'banyak', 'ngehabis', 'kuota', 'bocil']","[('jawab', 'ngehabis'), ('ngehabis', 'kuota'), ('kuota', 'mana'), ('mana', 'banyak'), ('banyak', 'ngehabis'), ('ngehabis', 'kuota'), ('kuota', 'bocil')]"
"['musik', 'tema', 'aneh', 'nyambung', 'musik', 'tema', 'lain', 'tambahin', 'baru', 'jangan', 'bosen']","[('musik', 'tema'), ('tema', 'aneh'), ('aneh', 'nyambung'), ('nyambung', 'musik'), ('musik', 'tema'), ('tema', 'lain'), ('lain', 'tambahin'), ('tambahin', 'baru'), ('baru', 'jangan'), ('jangan', 'bosen')]"
"['grafik', 'bagus', 'bangat']","[('grafik', 'bagus'), ('bagus', 'bangat')]"
"['kalah', 'turun', 'turun', 'trs', 'mana', 'gitu', 'banget', 'bkn', 'kesel']","[('kalah', 'turun'), ('turun', 'turun'), ('turun', 'trs'), ('trs', 'mana'), ('mana', 'gitu'), ('gitu', 'banget'), ('banget', 'bkn'), ('bkn', 'kesel')]"
"['ketemu', 'musuh', 'jago', 'banget', 'kecil']","[('ketemu', 'musuh'), ('musuh', 'jago'), ('jago', 'banget'), ('banget', 'kecil')]"
['baru'],[]
"['bagus', 'tarik', 'keren', 'legends', 'gila', 'jelek']","[('bagus', 'tarik'), ('tarik', 'keren'), ('keren', 'legends'), ('legends', 'gila'), ('gila', 'jelek')]"
"['ngerti', 'season', 'kasi', 'ngetrol', 'roam', 'daji', 'lahh', 'segala', 'macam']","[('ngerti', 'season'), ('season', 'kasi'), ('kasi', 'ngetrol'), ('ngetrol', 'roam'), ('roam', 'daji'), ('daji', 'lahh'), ('lahh', 'segala'), ('segala', 'macam')]"
['peler'],[]
['terimakasih'],[]
"['tolong', 'baik', 'bugnya', 'contoh', 'file', 'skin', 'hilang', 'sudah', 'skinnya', 'sperti', 'skin', 'guiguzi', 'jjk', 'skin', 'mayene', 'food', 'fodie', 'spend', 'token', 'akhir', 'tanggap', 'moga', 'file', 'ski', 'cepat']","[('tolong', 'baik'), ('baik', 'bugnya'), ('bugnya', 'contoh'), ('contoh', 'file'), ('file', 'skin'), ('skin', 'hilang'), ('hilang', 'sudah'), ('sudah', 'skinnya'), ('skinnya', 'sperti'), ('sperti', 'skin'), ('skin', 'guiguzi'), ('guiguzi', 'jjk'), ('jjk', 'skin'), ('skin', 'mayene'), ('mayene', 'food'), ('food', 'fodie'), ('fodie', 'spend'), ('spend', 'token'), ('token', 'akhir'), ('akhir', 'tanggap'), ('tanggap', 'moga'), ('moga', 'file'), ('file', 'ski'), ('ski', 'cepat')]"
['ycca'],[]
"['tolong', 'optimasi', 'minimal', 'grafik', 'rendah', 'bahkan', 'rata', 'kiri', 'msih', 'suka', 'panas', 'framedrop', 'emng', 'mid', 'low', 'cuma', 'msih', 'usaha', 'tahan', 'digame', 'minimal', 'masa', 'gugur']","[('tolong', 'optimasi'), ('optimasi', 'minimal'), ('minimal', 'grafik'), ('grafik', 'rendah'), ('rendah', 'bahkan'), ('bahkan', 'rata'), ('rata', 'kiri'), ('kiri', 'msih'), ('msih', 'suka'), ('suka', 'panas'), ('panas', 'framedrop'), ('framedrop', 'emng'), ('emng', 'mid'), ('mid', 'low'), ('low', 'cuma'), ('cuma', 'msih'), ('msih', 'usaha'), ('usaha', 'tahan'), ('tahan', 'digame'), ('digame', 'minimal'), ('minimal', 'masa'), ('masa', 'gugur')]"
"['mohon', 'maaf', 'delovoper', 'king', 'guna', 'wifi', 'tetapi', 'pilih', 'suruh', 'tunggu', 'tunggu', 'sudah', 'selesai', 'tetapi', 'masuk', 'tolong', 'jika', 'bug', 'segera', 'benar', 'reputasi', 'turun', 'jujur', 'seru']","[('mohon', 'maaf'), ('maaf', 'delovoper'), ('delovoper', 'king'), ('king', 'guna'), ('guna', 'wifi'), ('wifi', 'tetapi'), ('tetapi', 'pilih'), ('pilih', 'suruh'), ('suruh', 'tunggu'), ('tunggu', 'tunggu'), ('tunggu', 'sudah'), ('sudah', 'selesai'), ('selesai', 'tetapi'), ('tetapi', 'masuk'), ('masuk', 'tolong'), ('tolong', 'jika'), ('jika', 'bug'), ('bug', 'segera'), ('segera', 'benar'), ('benar', 'reputasi'), ('reputasi', 'turun'), ('turun', 'jujur'), ('jujur', 'seru')]"
"['beri', 'bintang']","[('beri', 'bintang')]"
"['bagus', 'banget']","[('bagus', 'banget')]"
"['server', 'coba', 'lihat', 'komentar', 'chandra', 'chan', 'total', 'e', 'gb', 'sudah', 'bukti', 'komentar', 'chandra', 'chan', 'suka', 'banget', 'tsb', 'kuota', 'seluler', 'capai', 'segitu', 'besar', 'wifi', 'seluler', 'mengunakan', 'gigabyte', 'wifi', 'lot']","[('server', 'coba'), ('coba', 'lihat'), ('lihat', 'komentar'), ('komentar', 'chandra'), ('chandra', 'chan'), ('chan', 'total'), ('total', 'e'), ('e', 'gb'), ('gb', 'sudah'), ('sudah', 'bukti'), ('bukti', 'komentar'), ('komentar', 'chandra'), ('chandra', 'chan'), ('chan', 'suka'), ('suka', 'banget'), ('banget', 'tsb'), ('tsb', 'kuota'), ('kuota', 'seluler'), ('seluler', 'capai'), ('capai', 'segitu'), ('segitu', 'besar'), ('besar', 'wifi'), ('wifi', 'seluler'), ('seluler', 'mengunakan'), ('mengunakan', 'gigabyte'), ('gigabyte', 'wifi'), ('wifi', 'lot')]"
"['buruk', 'kopi', 'bang', 'bang', 'gacocok', 'king', 'kingnya', 'elo', 'raja', 'tuhan', 'tuhan', 'allah', 'swt']","[('buruk', 'kopi'), ('kopi', 'bang'), ('bang', 'bang'), ('bang', 'gacocok'), ('gacocok', 'king'), ('king', 'kingnya'), ('kingnya', 'elo'), ('elo', 'raja'), ('raja', 'tuhan'), ('tuhan', 'tuhan'), ('tuhan', 'allah'), ('allah', 'swt')]"
"['mending', 'genshin']","[('mending', 'genshin')]"
[],[]
"['buruk', 'matchnya', 'ajg', 'stres', 'banyak', 'mula', 'baru', 'banget', 'sementara', 'musuh', 'veteran', 'semua', 'peak', 'nyaman', 'banget', 'gimana', 'solusi']","[('buruk', 'matchnya'), ('matchnya', 'ajg'), ('ajg', 'stres'), ('stres', 'banyak'), ('banyak', 'mula'), ('mula', 'baru'), ('baru', 'banget'), ('banget', 'sementara'), ('sementara', 'musuh'), ('musuh', 'veteran'), ('veteran', 'semua'), ('semua', 'peak'), ('peak', 'nyaman'), ('nyaman', 'banget'), ('banget', 'gimana'), ('gimana', 'solusi')]"
"['mohon', 'baik', 'pakek', 'wifi', 'sinyal', 'merah', 'nanti', 'klok', 'sudah', 'setabil', 'tambah', 'bintang']","[('mohon', 'baik'), ('baik', 'pakek'), ('pakek', 'wifi'), ('wifi', 'sinyal'), ('sinyal', 'merah'), ('merah', 'nanti'), ('nanti', 'klok'), ('klok', 'sudah'), ('sudah', 'setabil'), ('setabil', 'tambah'), ('tambah', 'bintang')]"
"['update', 'lag', 'belum', 'lancar']","[('update', 'lag'), ('lag', 'belum'), ('belum', 'lancar')]"
"['bagus', 'namun', 'mb', 'besar', 'tolong', 'mb', 'kurang']","[('bagus', 'namun'), ('namun', 'mb'), ('mb', 'besar'), ('besar', 'tolong'), ('tolong', 'mb'), ('mb', 'kurang')]"
['seru'],[]
"['tolong', 'baik', 'gm', 'full', 'master', 'sampah', 'banget', 'kagak', 'jelas']","[('tolong', 'baik'), ('baik', 'gm'), ('gm', 'full'), ('full', 'master'), ('master', 'sampah'), ('sampah', 'banget'), ('banget', 'kagak'), ('kagak', 'jelas')]"
"['kuat', 'anj']","[('kuat', 'anj')]"
"['bagus', 'kucing', 'imut', 'banget', 'bintang', 'lima']","[('bagus', 'kucing'), ('kucing', 'imut'), ('imut', 'banget'), ('banget', 'bintang'), ('bintang', 'lima')]"
"['kapan', 'collab', 'demon', 'slayer', 'music', 'entrance', 'infinity', 'castle']","[('kapan', 'collab'), ('collab', 'demon'), ('demon', 'slayer'), ('slayer', 'music'), ('music', 'entrance'), ('entrance', 'infinity'), ('infinity', 'castle')]"
"['lumayan', 'mantap']","[('lumayan', 'mantap')]"
"['adil', 'setting', 'banyak', 'kalah', 'kompak', 'sedang', 'musuh', 'kompak', 'rusak']","[('adil', 'setting'), ('setting', 'banyak'), ('banyak', 'kalah'), ('kalah', 'kompak'), ('kompak', 'sedang'), ('sedang', 'musuh'), ('musuh', 'kompak'), ('kompak', 'rusak')]"
['tiru'],[]
"['enak', 'banget', 'sumpah', 'no', 'tipu', 'tipu']","[('enak', 'banget'), ('banget', 'sumpah'), ('sumpah', 'no'), ('no', 'tipu'), ('tipu', 'tipu')]"
['bagus'],[]
"['baru', 'pelit', 'bagi', 'skin', 'gerat']","[('baru', 'pelit'), ('pelit', 'bagi'), ('bagi', 'skin'), ('skin', 'gerat')]"
"['bagus', 'banget']","[('bagus', 'banget')]"
['gacor'],[]
"['lain', 'feeder', 'b', 'jelas', 'mati', 'salah']","[('lain', 'feeder'), ('feeder', 'b'), ('b', 'jelas'), ('jelas', 'mati'), ('mati', 'salah')]"
"['pernah', 'seru', 'banget', 'bahkan', 'lawan', 'banyak', 'musuh']","[('pernah', 'seru'), ('seru', 'banget'), ('banget', 'bahkan'), ('bahkan', 'lawan'), ('lawan', 'banyak'), ('banyak', 'musuh')]"
