stopwords_removed,bigrams_hok
"['butuh', 'gambar', 'lore', 'lebih', 'jelas', 'susah', 'paham', 'lore', 'lebih', 'fokus', 'bahkan', 'gambar', 'primeara', 'tak', 'tulis', 'jelas', 'banyak', 'mi', 'cukup', 'susah', 'paham', 'lore', 'harap', 'gambar', 'lore', 'lebih', 'jelas', 'lain']","[('butuh', 'gambar'), ('gambar', 'lore'), ('lore', 'lebih'), ('lebih', 'jelas'), ('jelas', 'susah'), ('susah', 'paham'), ('paham', 'lore'), ('lore', 'lebih'), ('lebih', 'fokus'), ('fokus', 'bahkan'), ('bahkan', 'gambar'), ('gambar', 'primeara'), ('primeara', 'tak'), ('tak', 'tulis'), ('tulis', 'jelas'), ('jelas', 'banyak'), ('banyak', 'mi'), ('mi', 'cukup'), ('cukup', 'susah'), ('susah', 'paham'), ('paham', 'lore'), ('lore', 'harap'), ('harap', 'gambar'), ('gambar', 'lore'), ('lore', 'lebih'), ('lebih', 'jelas'), ('jelas', 'lain')]"
"['force', 'close', 'update', 'begini']","[('force', 'close'), ('close', 'update'), ('update', 'begini')]"
"['t', 'l', 'l', 'mending', 'legends']","[('t', 'l'), ('l', 'l'), ('l', 'mending'), ('mending', 'legends')]"
"['fiturnya', 'tolong', 'baik']","[('fiturnya', 'tolong'), ('tolong', 'baik')]"
"['good', 'application']","[('good', 'application')]"
"['rusak', 'saranin', 'jangan']","[('rusak', 'saranin'), ('saranin', 'jangan')]"
"['minimal', 'itel', 'p', 'problem', 'ngebug', 'random', 'force', 'close', 'melulu', 'tolong', 'baik']","[('minimal', 'itel'), ('itel', 'p'), ('p', 'problem'), ('problem', 'ngebug'), ('ngebug', 'random'), ('random', 'force'), ('force', 'close'), ('close', 'melulu'), ('melulu', 'tolong'), ('tolong', 'baik')]"
['seru'],[]
"['free', 'skin']","[('free', 'skin')]"
['seru'],[]
"['gila', 'mana', 'kena', 'penalti', 'makin', 'aneh']","[('gila', 'mana'), ('mana', 'kena'), ('kena', 'penalti'), ('penalti', 'makin'), ('makin', 'aneh')]"
"['up', 'harga', 'roamer', 'hitung', 'adil', 'bahkan', 'dg', 'samasama', 'dg', 'statistik', 'jauh', 'atas', 'lain', 'roamer', 'tdk', 'dominan', 'mvp', 'its', 'not', 'fair', 'for', 'programmer', 'hitung', 'mu', 'kurang', 'akurat', 'kda', 'selisih', 'jauh', 'unggul', 'kuasa', 'unggul', 'damage', 'terimakasih', 'unggul', 'dominan', 'non', 'roamer', 'mvp']","[('up', 'harga'), ('harga', 'roamer'), ('roamer', 'hitung'), ('hitung', 'adil'), ('adil', 'bahkan'), ('bahkan', 'dg'), ('dg', 'samasama'), ('samasama', 'dg'), ('dg', 'statistik'), ('statistik', 'jauh'), ('jauh', 'atas'), ('atas', 'lain'), ('lain', 'roamer'), ('roamer', 'tdk'), ('tdk', 'dominan'), ('dominan', 'mvp'), ('mvp', 'its'), ('its', 'not'), ('not', 'fair'), ('fair', 'for'), ('for', 'programmer'), ('programmer', 'hitung'), ('hitung', 'mu'), ('mu', 'kurang'), ('kurang', 'akurat'), ('akurat', 'kda'), ('kda', 'selisih'), ('selisih', 'jauh'), ('jauh', 'unggul'), ('unggul', 'kuasa'), ('kuasa', 'unggul'), ('unggul', 'damage'), ('damage', 'terimakasih'), ('terimakasih', 'unggul'), ('unggul', 'dominan'), ('dominan', 'non'), ('non', 'roamer'), ('roamer', 'mvp')]"
"['tolong', 'matching', 'rusak', 'masa', 'ketemu', 'philipina', 'mesti', 'kalah']","[('tolong', 'matching'), ('matching', 'rusak'), ('rusak', 'masa'), ('masa', 'ketemu'), ('ketemu', 'philipina'), ('philipina', 'mesti'), ('mesti', 'kalah')]"
"['baik', 'walau', 'lawan', 'susah']","[('baik', 'walau'), ('walau', 'lawan'), ('lawan', 'susah')]"
['adil'],[]
"['akun', 'kena', 'hack']","[('akun', 'kena'), ('kena', 'hack')]"
['seru'],[]
"['kenapa', 'mental', 'keluar', 'sendiri', 'masuk', 'lama', 'masuk', 'afk', 'segaja']","[('kenapa', 'mental'), ('mental', 'keluar'), ('keluar', 'sendiri'), ('sendiri', 'masuk'), ('masuk', 'lama'), ('lama', 'masuk'), ('masuk', 'afk'), ('afk', 'segaja')]"
"['cacat', 'lawan', 'bot', 'teman', 'bot', 'rusak', 'uninstal']","[('cacat', 'lawan'), ('lawan', 'bot'), ('bot', 'teman'), ('teman', 'bot'), ('bot', 'rusak'), ('rusak', 'uninstal')]"
"['bagus', 'kurang', 'adil', 'bagi', 'akhir', 'kda', 'kurang', 'arti']","[('bagus', 'kurang'), ('kurang', 'adil'), ('adil', 'bagi'), ('bagi', 'akhir'), ('akhir', 'kda'), ('kda', 'kurang'), ('kurang', 'arti')]"
"['mirip', 'mobil']","[('mirip', 'mobil')]"
"['kasa', 'lancar', 'sengaya', 'keluar', 'lowding', 'lama', 'banget']","[('kasa', 'lancar'), ('lancar', 'sengaya'), ('sengaya', 'keluar'), ('keluar', 'lowding'), ('lowding', 'lama'), ('lama', 'banget')]"
"['tetap', 'diamon', 'gelap', 'pusing', 'ah']","[('tetap', 'diamon'), ('diamon', 'gelap'), ('gelap', 'pusing'), ('pusing', 'ah')]"
"['jarigan', 'stabil', 'banyak', 'bug', 'soryy', 'rerting', 'bintang', 'satu', 'iya']","[('jarigan', 'stabil'), ('stabil', 'banyak'), ('banyak', 'bug'), ('bug', 'soryy'), ('soryy', 'rerting'), ('rerting', 'bintang'), ('bintang', 'satu'), ('satu', 'iya')]"
"['pernah', 'coba', 'bagus', 'nyoba']","[('pernah', 'coba'), ('coba', 'bagus'), ('bagus', 'nyoba')]"
"['gg', 'seru', 'bagus', 'gratis']","[('gg', 'seru'), ('seru', 'bagus'), ('bagus', 'gratis')]"
"['moga', 'ngecewain', 'jangan', 'mole']","[('moga', 'ngecewain'), ('ngecewain', 'jangan'), ('jangan', 'mole')]"
"['bagus', 'trash', 'makin', 'update', 'makin', 'jelek']","[('bagus', 'trash'), ('trash', 'makin'), ('makin', 'update'), ('update', 'makin'), ('makin', 'jelek')]"
"['semua', 'coba', 'cuma', 'jaringanya', 'pasti', 'arti', 'lag', 'wifi', 'lancar', 'sinyal', 'full', 'oke', 'lag', 'seakanakan', 'belum', 'server', 'global', 'sekian', 'terimakasih', 'hal', 'lain', 'puas', 'nyaman', 'paling', 'utama', 'mohon', 'kerja', 'rusak', 'sinyal', 'jika', 'tolong', 'periksa', 'otomatis', 'bagi', 'mungkin', 'mengunakan', 'plungin', 'dll']","[('semua', 'coba'), ('coba', 'cuma'), ('cuma', 'jaringanya'), ('jaringanya', 'pasti'), ('pasti', 'arti'), ('arti', 'lag'), ('lag', 'wifi'), ('wifi', 'lancar'), ('lancar', 'sinyal'), ('sinyal', 'full'), ('full', 'oke'), ('oke', 'lag'), ('lag', 'seakanakan'), ('seakanakan', 'belum'), ('belum', 'server'), ('server', 'global'), ('global', 'sekian'), ('sekian', 'terimakasih'), ('terimakasih', 'hal'), ('hal', 'lain'), ('lain', 'puas'), ('puas', 'nyaman'), ('nyaman', 'paling'), ('paling', 'utama'), ('utama', 'mohon'), ('mohon', 'kerja'), ('kerja', 'rusak'), ('rusak', 'sinyal'), ('sinyal', 'jika'), ('jika', 'tolong'), ('tolong', 'periksa'), ('periksa', 'otomatis'), ('otomatis', 'bagi'), ('bagi', 'mungkin'), ('mungkin', 'mengunakan'), ('mengunakan', 'plungin'), ('plungin', 'dll')]"
"['lebih', 'keren']","[('lebih', 'keren')]"
"['jelas', 'sudah', 'dua', 'tetap', 'taik', 'buang', 'babi', 'baru', 'paket', 'gb', 'tadi', 'sore', 'satu', 'hbs', 'tinggal', 'paket', 'yutop', 'gilak', 'parah', 'makan']","[('jelas', 'sudah'), ('sudah', 'dua'), ('dua', 'tetap'), ('tetap', 'taik'), ('taik', 'buang'), ('buang', 'babi'), ('babi', 'baru'), ('baru', 'paket'), ('paket', 'gb'), ('gb', 'tadi'), ('tadi', 'sore'), ('sore', 'satu'), ('satu', 'hbs'), ('hbs', 'tinggal'), ('tinggal', 'paket'), ('paket', 'yutop'), ('yutop', 'gilak'), ('gilak', 'parah'), ('parah', 'makan')]"
[],[]
"['season', 'sekarang', 'kenapa', 'lag', 'minimal', 'lain', 'aman', 'ingame', 'lag', 'males', 'banget', 'server', 'brazil', 'baru', 'lag', 'bukan', 'sendiri']","[('season', 'sekarang'), ('sekarang', 'kenapa'), ('kenapa', 'lag'), ('lag', 'minimal'), ('minimal', 'lain'), ('lain', 'aman'), ('aman', 'ingame'), ('ingame', 'lag'), ('lag', 'males'), ('males', 'banget'), ('banget', 'server'), ('server', 'brazil'), ('brazil', 'baru'), ('baru', 'lag'), ('lag', 'bukan'), ('bukan', 'sendiri')]"
['oke'],[]
"['animasi', 'kurah', 'hidup', 'bagus']","[('animasi', 'kurah'), ('kurah', 'hidup'), ('hidup', 'bagus')]"
"['sinyal', 'kenapa', 'jelek']","[('sinyal', 'kenapa'), ('kenapa', 'jelek')]"
"['bagus', 'seru']","[('bagus', 'seru')]"
['keren'],[]
"['update', 'belum', 'normal', 'normal', 'gede', 'banget', 'sekitar', 'gban']","[('update', 'belum'), ('belum', 'normal'), ('normal', 'normal'), ('normal', 'gede'), ('gede', 'banget'), ('banget', 'sekitar'), ('sekitar', 'gban')]"
['jelek'],[]
"['jadul', 'banget', 'buruk']","[('jadul', 'banget'), ('banget', 'buruk')]"
['baik'],[]
[],[]
"['android', 'baik']","[('android', 'baik')]"
"['tier', 'paling', 'niat']","[('tier', 'paling'), ('paling', 'niat')]"
"['my', 'little', 'soda', 'pop']","[('my', 'little'), ('little', 'soda'), ('soda', 'pop')]"
['keren'],[]
"['anggita', 'nurhassanah']","[('anggita', 'nurhassanah')]"
"['lumayan', 'seru', 'cuma', 'ngerti', 'item', 'maka', 'bintang']","[('lumayan', 'seru'), ('seru', 'cuma'), ('cuma', 'ngerti'), ('ngerti', 'item'), ('item', 'maka'), ('maka', 'bintang')]"
"['baik', 'tier', 'atas', 'bnyak', 'gelap', 'systemnya', 'ketemu', 'asing', 'anehh', 'gameplaynya']","[('baik', 'tier'), ('tier', 'atas'), ('atas', 'bnyak'), ('bnyak', 'gelap'), ('gelap', 'systemnya'), ('systemnya', 'ketemu'), ('ketemu', 'asing'), ('asing', 'anehh'), ('anehh', 'gameplaynya')]"
"['candu', 'banget', 'satu', 'walaupun', 'colong', 'samsung', 'j', 'biarin', 'penting', 'kompatibel']","[('candu', 'banget'), ('banget', 'satu'), ('satu', 'walaupun'), ('walaupun', 'colong'), ('colong', 'samsung'), ('samsung', 'j'), ('j', 'biarin'), ('biarin', 'penting'), ('penting', 'kompatibel')]"
['bagus'],[]
"['report', 'makin', 'jelek', 'semenjak', 'gimmick', 'ai', 'ngetroll', 'nyuri', 'kena']","[('report', 'makin'), ('makin', 'jelek'), ('jelek', 'semenjak'), ('semenjak', 'gimmick'), ('gimmick', 'ai'), ('ai', 'ngetroll'), ('ngetroll', 'nyuri'), ('nyuri', 'kena')]"
"['timya', 'bloon']","[('timya', 'bloon')]"
['inimudah'],[]
"['apresiasi', 'banyak', 'skin', 'gratis', 'bukan', 'skin', 'basic', 'elif', 'bahkan', 'epic', 'njir', 'laa', 'mana', 'paling', 'beri', 'skin', 'basic', 'awok']","[('apresiasi', 'banyak'), ('banyak', 'skin'), ('skin', 'gratis'), ('gratis', 'bukan'), ('bukan', 'skin'), ('skin', 'basic'), ('basic', 'elif'), ('elif', 'bahkan'), ('bahkan', 'epic'), ('epic', 'njir'), ('njir', 'laa'), ('laa', 'mana'), ('mana', 'paling'), ('paling', 'beri'), ('beri', 'skin'), ('skin', 'basic'), ('basic', 'awok')]"
"['hallo', 'dev', 'edit', 'ulas', 'sedikit', 'keluh', 'agak', 'bingung', 'imbang', 'push', 'musuh', 'lebih', 'tinggi', 'tiernya', 'ketimbang', 'alhasil', 'defeat', 'ketimbang', 'win', 'moga', 'cari', 'imbang', 'tier', 'masing', 'sukses']","[('hallo', 'dev'), ('dev', 'edit'), ('edit', 'ulas'), ('ulas', 'sedikit'), ('sedikit', 'keluh'), ('keluh', 'agak'), ('agak', 'bingung'), ('bingung', 'imbang'), ('imbang', 'push'), ('push', 'musuh'), ('musuh', 'lebih'), ('lebih', 'tinggi'), ('tinggi', 'tiernya'), ('tiernya', 'ketimbang'), ('ketimbang', 'alhasil'), ('alhasil', 'defeat'), ('defeat', 'ketimbang'), ('ketimbang', 'win'), ('win', 'moga'), ('moga', 'cari'), ('cari', 'imbang'), ('imbang', 'tier'), ('tier', 'masing'), ('masing', 'sukses')]"
"['selalu', 'jelek', 'jarang', 'banget', 'bagus']","[('selalu', 'jelek'), ('jelek', 'jarang'), ('jarang', 'banget'), ('banget', 'bagus')]"
['niruin'],[]
['good'],[]
"['tolong', 'update', 'versi', 'lag', 'banget', 'semenjak', 'spriteling', 'tambah', 'lag']","[('tolong', 'update'), ('update', 'versi'), ('versi', 'lag'), ('lag', 'banget'), ('banget', 'semenjak'), ('semenjak', 'spriteling'), ('spriteling', 'tambah'), ('tambah', 'lag')]"
"['bagus', 'jugaa', 'sukaa']","[('bagus', 'jugaa'), ('jugaa', 'sukaa')]"
"['berharihari', 'kalah', 'ngestack', 'sampah', 'mending', 'balik', 'adil']","[('berharihari', 'kalah'), ('kalah', 'ngestack'), ('ngestack', 'sampah'), ('sampah', 'mending'), ('mending', 'balik'), ('balik', 'adil')]"
"['tarik', 'luar', 'biasa']","[('tarik', 'luar'), ('luar', 'biasa')]"
"['bag', 'wifi', 'bagus', 'bagus', 'nyaman', 'tolong', 'rusak']","[('bag', 'wifi'), ('wifi', 'bagus'), ('bagus', 'bagus'), ('bagus', 'nyaman'), ('nyaman', 'tolong'), ('tolong', 'rusak')]"
"['seru', 'lag']","[('seru', 'lag')]"
