stopwords_removed,bigrams_mlbb
"['jelas', 'beri', 'ngotak', 'tres']","[('jelas', 'beri'), ('beri', 'ngotak'), ('ngotak', 'tres')]"
"['makin', 'ngaco', 'down', 'ms', 'naik', 'turuun', 'rating']","[('makin', 'ngaco'), ('ngaco', 'down'), ('down', 'ms'), ('ms', 'naik'), ('naik', 'turuun'), ('turuun', 'rating')]"
"['kadita', 'butuh', 'skin', 'epic', 'zenith', 'kadita', 'ariel', 'cocok', 'zenith']","[('kadita', 'butuh'), ('butuh', 'skin'), ('skin', 'epic'), ('epic', 'zenith'), ('zenith', 'kadita'), ('kadita', 'ariel'), ('ariel', 'cocok'), ('cocok', 'zenith')]"
"['bangke', 'mending', 'urusin', 'masalah', 'bug', 'ingame', 'ngurusin', 'event', 'skin', 'siasia', 'banyak', 'event', 'skin', 'masalah', 'bug', 'urusin', 'ijo', 'lag', 'aneh']","[('bangke', 'mending'), ('mending', 'urusin'), ('urusin', 'masalah'), ('masalah', 'bug'), ('bug', 'ingame'), ('ingame', 'ngurusin'), ('ngurusin', 'event'), ('event', 'skin'), ('skin', 'siasia'), ('siasia', 'banyak'), ('banyak', 'event'), ('event', 'skin'), ('skin', 'masalah'), ('masalah', 'bug'), ('bug', 'urusin'), ('urusin', 'ijo'), ('ijo', 'lag'), ('lag', 'aneh')]"
"['sekarang', 'aneh', 'banget', 'satuin', 'bego', 'musuh', 'op', 'malesin']","[('sekarang', 'aneh'), ('aneh', 'banget'), ('banget', 'satuin'), ('satuin', 'bego'), ('bego', 'musuh'), ('musuh', 'op'), ('op', 'malesin')]"
"['baik', 'dunia']","[('baik', 'dunia')]"
"['bukan', 'makin', 'bagus', 'makin', 'parah', 'lagnya', 'setting', 'speed', 'tingkat', 'masalah', 'aktif', 'selalu', 'suka', 'nonaktif', 'sendiri', 'nyalain', 'speed', 'tingkat', 'tambah', 'kira', 'masalah', 'signal', 'sendiri', 'wifi', 'cek', 'signal', 'bar', 'penuh', 'begitu', 'wifi', 'tes', 'youtube', 'lain', 'lancar', 'gimana', 'tolong', 'walau', 'merek', 'as', 'lama', 'lain', 'bagus']","[('bukan', 'makin'), ('makin', 'bagus'), ('bagus', 'makin'), ('makin', 'parah'), ('parah', 'lagnya'), ('lagnya', 'setting'), ('setting', 'speed'), ('speed', 'tingkat'), ('tingkat', 'masalah'), ('masalah', 'aktif'), ('aktif', 'selalu'), ('selalu', 'suka'), ('suka', 'nonaktif'), ('nonaktif', 'sendiri'), ('sendiri', 'nyalain'), ('nyalain', 'speed'), ('speed', 'tingkat'), ('tingkat', 'tambah'), ('tambah', 'kira'), ('kira', 'masalah'), ('masalah', 'signal'), ('signal', 'sendiri'), ('sendiri', 'wifi'), ('wifi', 'cek'), ('cek', 'signal'), ('signal', 'bar'), ('bar', 'penuh'), ('penuh', 'begitu'), ('begitu', 'wifi'), ('wifi', 'tes'), ('tes', 'youtube'), ('youtube', 'lain'), ('lain', 'lancar'), ('lancar', 'gimana'), ('gimana', 'tolong'), ('tolong', 'walau'), ('walau', 'merek'), ('merek', 'as'), ('as', 'lama'), ('lama', 'lain'), ('lain', 'bagus')]"
"['aneh', 'tinggi', 'teman', 'bot', 'aneh', 'bett', 'musuh', 'semua', 'sendiri', 'bott', 'buay', 'serius', 'bodoh']","[('aneh', 'tinggi'), ('tinggi', 'teman'), ('teman', 'bot'), ('bot', 'aneh'), ('aneh', 'bett'), ('bett', 'musuh'), ('musuh', 'semua'), ('semua', 'sendiri'), ('sendiri', 'bott'), ('bott', 'buay'), ('buay', 'serius'), ('serius', 'bodoh')]"
"['buruk', 'wifi', 'bagus', 'apakah', 'legends', 'rusak']","[('buruk', 'wifi'), ('wifi', 'bagus'), ('bagus', 'apakah'), ('apakah', 'legends'), ('legends', 'rusak')]"
['rusak'],[]
"['coba', 'baik', 'anjg', 'bagus', 'kenapa', 'lag', 'emosi', 'heran']","[('coba', 'baik'), ('baik', 'anjg'), ('anjg', 'bagus'), ('bagus', 'kenapa'), ('kenapa', 'lag'), ('lag', 'emosi'), ('emosi', 'heran')]"
"['pliss', 'baik', 'masa', 'ie', 'lezen', 'epic', 'gara', 'gara', 'punya', 'guna', 'gelap', 'aduh']","[('pliss', 'baik'), ('baik', 'masa'), ('masa', 'ie'), ('ie', 'lezen'), ('lezen', 'epic'), ('epic', 'gara'), ('gara', 'gara'), ('gara', 'punya'), ('punya', 'guna'), ('guna', 'gelap'), ('gelap', 'aduh')]"
"['kalah', 'sampai', 'menang', 'lawan', 'komputer']","[('kalah', 'sampai'), ('sampai', 'menang'), ('menang', 'lawan'), ('lawan', 'komputer')]"
['gjls'],[]
"['makin', 'updetan', 'makin', 'jelas', 'selalu', 'lag', 'sinyal', 'bagus']","[('makin', 'updetan'), ('updetan', 'makin'), ('makin', 'jelas'), ('jelas', 'selalu'), ('selalu', 'lag'), ('lag', 'sinyal'), ('sinyal', 'bagus')]"
"['bagus', 'kikir', 'imbang', 'banyak', 'bansos', 'gacha', 'wangi', 'baik', 'wangiin', 'akun', 'moontod', 'tambahin', 'bintang', 'gacha', 'aspirant', 'pola', 'akun', 'danish']","[('bagus', 'kikir'), ('kikir', 'imbang'), ('imbang', 'banyak'), ('banyak', 'bansos'), ('bansos', 'gacha'), ('gacha', 'wangi'), ('wangi', 'baik'), ('baik', 'wangiin'), ('wangiin', 'akun'), ('akun', 'moontod'), ('moontod', 'tambahin'), ('tambahin', 'bintang'), ('bintang', 'gacha'), ('gacha', 'aspirant'), ('aspirant', 'pola'), ('pola', 'akun'), ('akun', 'danish')]"
"['sinyal', 'bagus', 'lag', 'mentok', 'loby', 'patah', 'patah', 'sudah', 'bagus', 'ram', 'besar', 'banyak', 'performa', 'asik']","[('sinyal', 'bagus'), ('bagus', 'lag'), ('lag', 'mentok'), ('mentok', 'loby'), ('loby', 'patah'), ('patah', 'patah'), ('patah', 'sudah'), ('sudah', 'bagus'), ('bagus', 'ram'), ('ram', 'besar'), ('besar', 'banyak'), ('banyak', 'performa'), ('performa', 'asik')]"
"['sampah', 'tolol', 'banyak', 'bocah', 'random', 'acak', 'jelas', 'tolol', 'buruk']","[('sampah', 'tolol'), ('tolol', 'banyak'), ('banyak', 'bocah'), ('bocah', 'random'), ('random', 'acak'), ('acak', 'jelas'), ('jelas', 'tolol'), ('tolol', 'buruk')]"
['kontol'],[]
"['cocok', 'hilang', 'strees', 'strees']","[('cocok', 'hilang'), ('hilang', 'strees'), ('strees', 'strees')]"
['stres'],[]
"['ketemu', 'party', 'aneh', 'busuk', 'busuk']","[('ketemu', 'party'), ('party', 'aneh'), ('aneh', 'busuk'), ('busuk', 'busuk')]"
['bagus'],[]
"['tolong', 'imbang', 'troll', 'afk', 'sesuai', 'mending']","[('tolong', 'imbang'), ('imbang', 'troll'), ('troll', 'afk'), ('afk', 'sesuai'), ('sesuai', 'mending')]"
['bagus'],[]
"['beberapa', 'imbang', 'afk']","[('beberapa', 'imbang'), ('imbang', 'afk')]"
"['susah', 'gampang']","[('susah', 'gampang')]"
"['pls', 'bagi', 'koin', 'teman']","[('pls', 'bagi'), ('bagi', 'koin'), ('koin', 'teman')]"
"['benar', 'ancur', 'season', 'masa', 'full', 'ketemu', 'duo', 'trio', 'party', 'kocak', 'niat', 'happy', 'fun', 'emosi', 'saran', 'mending', 'hapus', 'dri', 'kalean']","[('benar', 'ancur'), ('ancur', 'season'), ('season', 'masa'), ('masa', 'full'), ('full', 'ketemu'), ('ketemu', 'duo'), ('duo', 'trio'), ('trio', 'party'), ('party', 'kocak'), ('kocak', 'niat'), ('niat', 'happy'), ('happy', 'fun'), ('fun', 'emosi'), ('emosi', 'saran'), ('saran', 'mending'), ('mending', 'hapus'), ('hapus', 'dri'), ('dri', 'kalean')]"
"['babi', 'macth', 'tier', 'epic', 'atas', 'tdk', 'adil', 'tuk', 'lose', 'streak', 'percuma', 'mvp', 'tuk', 'kalah', 'dasar', 'anjing']","[('babi', 'macth'), ('macth', 'tier'), ('tier', 'epic'), ('epic', 'atas'), ('atas', 'tdk'), ('tdk', 'adil'), ('adil', 'tuk'), ('tuk', 'lose'), ('lose', 'streak'), ('streak', 'percuma'), ('percuma', 'mvp'), ('mvp', 'tuk'), ('tuk', 'kalah'), ('kalah', 'dasar'), ('dasar', 'anjing')]"
"['jamet', 'bedahal', 'wifi', 'lancar', 'dasar', 'buruk', 'mending', 'ff']","[('jamet', 'bedahal'), ('bedahal', 'wifi'), ('wifi', 'lancar'), ('lancar', 'dasar'), ('dasar', 'buruk'), ('buruk', 'mending'), ('mending', 'ff')]"
"['buruk', 'jangan', 'gelap', 'tadi', 'sudah', 'lose', 'trik', 'pensi']","[('buruk', 'jangan'), ('jangan', 'gelap'), ('gelap', 'tadi'), ('tadi', 'sudah'), ('sudah', 'lose'), ('lose', 'trik'), ('trik', 'pensi')]"
"['coba', 'lag', 'simulator', 'wifi', 'plus', 'tingkat', 'aktif', 'semua', 'lag']","[('coba', 'lag'), ('lag', 'simulator'), ('simulator', 'wifi'), ('wifi', 'plus'), ('plus', 'tingkat'), ('tingkat', 'aktif'), ('aktif', 'semua'), ('semua', 'lag')]"
"['rusak', 'habis', 'update', 'lag', 'suka', 'ngetroll', 'rusak']","[('rusak', 'habis'), ('habis', 'update'), ('update', 'lag'), ('lag', 'suka'), ('suka', 'ngetroll'), ('ngetroll', 'rusak')]"
"['tolong', 'skin', 'dalam', 'tanding', 'gede', 'banget', 'tolong', 'biar', 'hapus', 'lain', 'guna', 'biar', 'hapus', 'berat', 'banget', 'afk', 'sanksi', 'kocak', 'salah', 'gada', 'ringan', 'kentang']","[('tolong', 'skin'), ('skin', 'dalam'), ('dalam', 'tanding'), ('tanding', 'gede'), ('gede', 'banget'), ('banget', 'tolong'), ('tolong', 'biar'), ('biar', 'hapus'), ('hapus', 'lain'), ('lain', 'guna'), ('guna', 'biar'), ('biar', 'hapus'), ('hapus', 'berat'), ('berat', 'banget'), ('banget', 'afk'), ('afk', 'sanksi'), ('sanksi', 'kocak'), ('kocak', 'salah'), ('salah', 'gada'), ('gada', 'ringan'), ('ringan', 'kentang')]"
"['lag', 'parah', 'update', 'project', 'next', 'buka', 'event', 'draft', 'akhir', 'lag', 'wajar', 'kadang', 'loading', 'stuck', 'jelass']","[('lag', 'parah'), ('parah', 'update'), ('update', 'project'), ('project', 'next'), ('next', 'buka'), ('buka', 'event'), ('event', 'draft'), ('draft', 'akhir'), ('akhir', 'lag'), ('lag', 'wajar'), ('wajar', 'kadang'), ('kadang', 'loading'), ('loading', 'stuck'), ('stuck', 'jelass')]"
"['makin', 'mantap']","[('makin', 'mantap')]"
"['kira', 'kira', 'luh', 'rangin', 'kredit', 'skor', 'afk', 'sebentar', 'kurang', 'admin', 'lol']","[('kira', 'kira'), ('kira', 'luh'), ('luh', 'rangin'), ('rangin', 'kredit'), ('kredit', 'skor'), ('skor', 'afk'), ('afk', 'sebentar'), ('sebentar', 'kurang'), ('kurang', 'admin'), ('admin', 'lol')]"
"['minimal', 'baik', 'sinyal', 'minimal', 'lag', 'banget', 'beta']","[('minimal', 'baik'), ('baik', 'sinyal'), ('sinyal', 'minimal'), ('minimal', 'lag'), ('lag', 'banget'), ('banget', 'beta')]"
"['tani', 'sepi']","[('tani', 'sepi')]"
"['ng', 'bagus', 'cuma', 'tensi', 'naik']","[('ng', 'bagus'), ('bagus', 'cuma'), ('cuma', 'tensi'), ('tensi', 'naik')]"
"['apalahh', 'signal', 'hijau', 'lag', 'olah', 'kouta', 'mana', 'moment', 'krusial', 'late', 'lose', 'akibat', 'ping', 'benar']","[('apalahh', 'signal'), ('signal', 'hijau'), ('hijau', 'lag'), ('lag', 'olah'), ('olah', 'kouta'), ('kouta', 'mana'), ('mana', 'moment'), ('moment', 'krusial'), ('krusial', 'late'), ('late', 'lose'), ('lose', 'akibat'), ('akibat', 'ping'), ('ping', 'benar')]"
"['bangus', 'sip']","[('bangus', 'sip')]"
"['he', 'memeq', 'user', 'mm', 'sat', 'ngapa', 'exp', 'meq']","[('he', 'memeq'), ('memeq', 'user'), ('user', 'mm'), ('mm', 'sat'), ('sat', 'ngapa'), ('ngapa', 'exp'), ('exp', 'meq')]"
"['jelek', 'gelap']","[('jelek', 'gelap')]"
"['moontn', 'kyk', 't', 'lag', 'bett', 'hijau', 'dahh', 'ajaa', 'lahh']","[('moontn', 'kyk'), ('kyk', 't'), ('t', 'lag'), ('lag', 'bett'), ('bett', 'hijau'), ('hijau', 'dahh'), ('dahh', 'ajaa'), ('ajaa', 'lahh')]"
"['banyak', 'ramah', 'intimidasi', 'lebih', 'rendah']","[('banyak', 'ramah'), ('ramah', 'intimidasi'), ('intimidasi', 'lebih'), ('lebih', 'rendah')]"
"['tolongg', 'baik', 'ngestack', 'masalah', 'afk', 'gara', 'gara', 'masalah', 'sampai', 'jika', 'salah', 'mohon', 'koreksi', 'teman', 'teman']","[('tolongg', 'baik'), ('baik', 'ngestack'), ('ngestack', 'masalah'), ('masalah', 'afk'), ('afk', 'gara'), ('gara', 'gara'), ('gara', 'masalah'), ('masalah', 'sampai'), ('sampai', 'jika'), ('jika', 'salah'), ('salah', 'mohon'), ('mohon', 'koreksi'), ('koreksi', 'teman'), ('teman', 'teman')]"
['rusak'],[]
['bagus'],[]
"['update', 'busuk', 'nunggu', 'delay']","[('update', 'busuk'), ('busuk', 'nunggu'), ('nunggu', 'delay')]"
"['bagus', 'banget', 'like', 'it']","[('bagus', 'banget'), ('banget', 'like'), ('like', 'it')]"
['bagus'],[]
"['sampah', 'kalah']","[('sampah', 'kalah')]"
"['kikir', 'kalah']","[('kikir', 'kalah')]"
"['bagus', 'sakal', 'engak', 'tarik', 'tolong', 'minta', 'konter']","[('bagus', 'sakal'), ('sakal', 'engak'), ('engak', 'tarik'), ('tarik', 'tolong'), ('tolong', 'minta'), ('minta', 'konter')]"
"['benar', 'anj', 'masa', 'ketemu', 'trio', 'random', 'tolol', 'lawan', 'partyaan', 'lima']","[('benar', 'anj'), ('anj', 'masa'), ('masa', 'ketemu'), ('ketemu', 'trio'), ('trio', 'random'), ('random', 'tolol'), ('tolol', 'lawan'), ('lawan', 'partyaan'), ('partyaan', 'lima')]"
"['bagus', 'hal', 'dewasa']","[('bagus', 'hal'), ('hal', 'dewasa')]"
"['kuliah', 'baru', 'ikut', 'rame', 'isi', 'kosong']","[('kuliah', 'baru'), ('baru', 'ikut'), ('ikut', 'rame'), ('rame', 'isi'), ('isi', 'kosong')]"
"['jangan', 'dowload', 'ketemu', 'beban', 'anjg', 'kaasih', 'beban', 'cape', 'bangsat']","[('jangan', 'dowload'), ('dowload', 'ketemu'), ('ketemu', 'beban'), ('beban', 'anjg'), ('anjg', 'kaasih'), ('kaasih', 'beban'), ('beban', 'cape'), ('cape', 'bangsat')]"
"['menit', 'kalah', 'bintang', 'lindung', 'mmr', 'turun', 'sudah', 'bagus', 'asu', 'asu', 'asu', 'buruk']","[('menit', 'kalah'), ('kalah', 'bintang'), ('bintang', 'lindung'), ('lindung', 'mmr'), ('mmr', 'turun'), ('turun', 'sudah'), ('sudah', 'bagus'), ('bagus', 'asu'), ('asu', 'asu'), ('asu', 'asu'), ('asu', 'buruk')]"
"['beri', 'benar']","[('beri', 'benar')]"
"['cuma', 'ngehabisin', 'paket', 'semua', 'afk', 'gausah']","[('cuma', 'ngehabisin'), ('ngehabisin', 'paket'), ('paket', 'semua'), ('semua', 'afk'), ('afk', 'gausah')]"
"['goreng', 'patut', 'lag', 'wae']","[('goreng', 'patut'), ('patut', 'lag'), ('lag', 'wae')]"
"['buruk', 'pernah', 'lag', 'gabisa', 'gerak', 'tolong', 'baik', 'jika', 'baik', 'mending', 'hapus', 'gane', 'rusak']","[('buruk', 'pernah'), ('pernah', 'lag'), ('lag', 'gabisa'), ('gabisa', 'gerak'), ('gerak', 'tolong'), ('tolong', 'baik'), ('baik', 'jika'), ('jika', 'baik'), ('baik', 'mending'), ('mending', 'hapus'), ('hapus', 'gane'), ('gane', 'rusak')]"
"['banyak', 'jelas', 'mending', 'poin', 'bintang', 'coklat', 'poin', 'kurang', 'paling', 'banyak', 'mvp', 'point', 'kurang', 'masa', 'banyak', 'kalah', 'menang', 'tinggal', 'nunggu', 'baru', 'laku']","[('banyak', 'jelas'), ('jelas', 'mending'), ('mending', 'poin'), ('poin', 'bintang'), ('bintang', 'coklat'), ('coklat', 'poin'), ('poin', 'kurang'), ('kurang', 'paling'), ('paling', 'banyak'), ('banyak', 'mvp'), ('mvp', 'point'), ('point', 'kurang'), ('kurang', 'masa'), ('masa', 'banyak'), ('banyak', 'kalah'), ('kalah', 'menang'), ('menang', 'tinggal'), ('tinggal', 'nunggu'), ('nunggu', 'baru'), ('baru', 'laku')]"
"['woyy', 'kenapa', 'gabisa', 'bukak', 'bagus']","[('woyy', 'kenapa'), ('kenapa', 'gabisa'), ('gabisa', 'bukak'), ('bukak', 'bagus')]"
['bagus'],[]
"['bagus', 'rangin', 'gelap']","[('bagus', 'rangin'), ('rangin', 'gelap')]"
"['adil', 'banyak', 'beban']","[('adil', 'banyak'), ('banyak', 'beban')]"
"['bagus', 'banget', 'terimakasih', 'bagus']","[('bagus', 'banget'), ('banget', 'terimakasih'), ('terimakasih', 'bagus')]"
"['bagus', 'banget', 'suka']","[('bagus', 'banget'), ('banget', 'suka')]"
['bagusds'],[]
"['pesan', 'tolong', 'lh', 'ringan', 'kentang', 'jauh', 'pelosok', 'ken', 'nyaman', 'alami', 'utama', 'tarung', 'lawan', 'alami', 'lag', 'langsung', 'merah', 'stabil', 'tanya', 'kenapa', 'ad', 'musuh', 'tarung', 'baru', 'bagus', 'belum', 'bagus', 'bagus', 'kenapa', 'tolong', 'tolong', 'kasi', 'ringan', 'lh', 'kepada']","[('pesan', 'tolong'), ('tolong', 'lh'), ('lh', 'ringan'), ('ringan', 'kentang'), ('kentang', 'jauh'), ('jauh', 'pelosok'), ('pelosok', 'ken'), ('ken', 'nyaman'), ('nyaman', 'alami'), ('alami', 'utama'), ('utama', 'tarung'), ('tarung', 'lawan'), ('lawan', 'alami'), ('alami', 'lag'), ('lag', 'langsung'), ('langsung', 'merah'), ('merah', 'stabil'), ('stabil', 'tanya'), ('tanya', 'kenapa'), ('kenapa', 'ad'), ('ad', 'musuh'), ('musuh', 'tarung'), ('tarung', 'baru'), ('baru', 'bagus'), ('bagus', 'belum'), ('belum', 'bagus'), ('bagus', 'bagus'), ('bagus', 'kenapa'), ('kenapa', 'tolong'), ('tolong', 'tolong'), ('tolong', 'kasi'), ('kasi', 'ringan'), ('ringan', 'lh'), ('lh', 'kepada')]"
['kikir'],[]
"['minimal', 'tolong', 'punya', 'masuk', 'lobby', 'sinyal', 'oke', 'tibatiba', 'gm', 'bilang', 'mohon', 'maaf', 'gagal', 'sambung', 'periksa', 'jangan', 'bagus', 'minimal', 'tolong', 'baless', 'minimal']","[('minimal', 'tolong'), ('tolong', 'punya'), ('punya', 'masuk'), ('masuk', 'lobby'), ('lobby', 'sinyal'), ('sinyal', 'oke'), ('oke', 'tibatiba'), ('tibatiba', 'gm'), ('gm', 'bilang'), ('bilang', 'mohon'), ('mohon', 'maaf'), ('maaf', 'gagal'), ('gagal', 'sambung'), ('sambung', 'periksa'), ('periksa', 'jangan'), ('jangan', 'bagus'), ('bagus', 'minimal'), ('minimal', 'tolong'), ('tolong', 'baless'), ('baless', 'minimal')]"
['bagus'],[]
"['apasih', 'jelas', 'bngt', 'afk', 'sebentar', 'trs', 'balik', 'lgi', 'kena', 'ingat', 'afk']","[('apasih', 'jelas'), ('jelas', 'bngt'), ('bngt', 'afk'), ('afk', 'sebentar'), ('sebentar', 'trs'), ('trs', 'balik'), ('balik', 'lgi'), ('lgi', 'kena'), ('kena', 'ingat'), ('ingat', 'afk')]"
"['rusakk', 'beri', 'imbang', 'lawakk', 'mana', 'lag']","[('rusakk', 'beri'), ('beri', 'imbang'), ('imbang', 'lawakk'), ('lawakk', 'mana'), ('mana', 'lag')]"
['baik'],[]
"['makin', 'buriq', 'banget', 'asli', 'sumpah', 'mending', 'unistall', 'dehh', 'mainin', 'lama', 'semakain', 'jelek', 'masa', 'bagus', 'gerak', 'skill', 'analog', 'pencet', 'utama', 'bagi', 'analog', 'kadang', 'mencet', 'sendiri', 'reccal', 'vakum']","[('makin', 'buriq'), ('buriq', 'banget'), ('banget', 'asli'), ('asli', 'sumpah'), ('sumpah', 'mending'), ('mending', 'unistall'), ('unistall', 'dehh'), ('dehh', 'mainin'), ('mainin', 'lama'), ('lama', 'semakain'), ('semakain', 'jelek'), ('jelek', 'masa'), ('masa', 'bagus'), ('bagus', 'gerak'), ('gerak', 'skill'), ('skill', 'analog'), ('analog', 'pencet'), ('pencet', 'utama'), ('utama', 'bagi'), ('bagi', 'analog'), ('analog', 'kadang'), ('kadang', 'mencet'), ('mencet', 'sendiri'), ('sendiri', 'reccal'), ('reccal', 'vakum')]"
"['love', 'this', 'for', 'not', 'having', 'ai', 'animation', 'for', 'their', 'trailer', 'pls', 'dont', 'change']","[('love', 'this'), ('this', 'for'), ('for', 'not'), ('not', 'having'), ('having', 'ai'), ('ai', 'animation'), ('animation', 'for'), ('for', 'their'), ('their', 'trailer'), ('trailer', 'pls'), ('pls', 'dont'), ('dont', 'change')]"
"['jangan', 'akibat', 'stres', 'jarak', 'makan', 'jarang', 'sholat', 'lebih', 'parah', 'akn', 'akibat', 'marahmarah']","[('jangan', 'akibat'), ('akibat', 'stres'), ('stres', 'jarak'), ('jarak', 'makan'), ('makan', 'jarang'), ('jarang', 'sholat'), ('sholat', 'lebih'), ('lebih', 'parah'), ('parah', 'akn'), ('akn', 'akibat'), ('akibat', 'marahmarah')]"
['bangsat'],[]
"['seru', 'gemburik']","[('seru', 'gemburik')]"
"['stres', 'banyak', 'gelap', 'epik', 'buruk', 'jangan', 'sampai', 'anak', 'kecil', 'men', 'dawlod', 'ngerusakin']","[('stres', 'banyak'), ('banyak', 'gelap'), ('gelap', 'epik'), ('epik', 'buruk'), ('buruk', 'jangan'), ('jangan', 'sampai'), ('sampai', 'anak'), ('anak', 'kecil'), ('kecil', 'men'), ('men', 'dawlod'), ('dawlod', 'ngerusakin')]"
"['makin', 'makin', 'jelas', 'loststeak', 'sampai', 'ditroll', 'kadang', 'lag', 'akibat', 'keluar', 'sendiri', 'masuk', 'langsung', 'afk', 'payah', 'mem', 'milih']","[('makin', 'makin'), ('makin', 'jelas'), ('jelas', 'loststeak'), ('loststeak', 'sampai'), ('sampai', 'ditroll'), ('ditroll', 'kadang'), ('kadang', 'lag'), ('lag', 'akibat'), ('akibat', 'keluar'), ('keluar', 'sendiri'), ('sendiri', 'masuk'), ('masuk', 'langsung'), ('langsung', 'afk'), ('afk', 'payah'), ('payah', 'mem'), ('mem', 'milih')]"
"['selalu', 'tolol', 'admin', 'masa', 'mvp', 'defeat', 'mantep', 'mind', 'biar', 'gendong', 'bocil', 'tolol']","[('selalu', 'tolol'), ('tolol', 'admin'), ('admin', 'masa'), ('masa', 'mvp'), ('mvp', 'defeat'), ('defeat', 'mantep'), ('mantep', 'mind'), ('mind', 'biar'), ('biar', 'gendong'), ('gendong', 'bocil'), ('bocil', 'tolol')]"
"['have', 'fun']","[('have', 'fun')]"
"['gemnya', 'rayan', 'seru']","[('gemnya', 'rayan'), ('rayan', 'seru')]"
"['banyak', 'gelap']","[('banyak', 'gelap')]"
"['woy', 'lag', 'sampai', 'crash', 'dalam', 'tanding', 'rusak', 'lol']","[('woy', 'lag'), ('lag', 'sampai'), ('sampai', 'crash'), ('crash', 'dalam'), ('dalam', 'tanding'), ('tanding', 'rusak'), ('rusak', 'lol')]"
"['rusak', 'setan']","[('rusak', 'setan')]"
"['seru', 'tolong', 'draksistemnya', 'rangin', 'sya', 'selalu', 'tolol', 'tb', 'lag', 'pdhl', 'lag', 'mohon', 'muntun', 'rangin', 'tolol', 'hehh']","[('seru', 'tolong'), ('tolong', 'draksistemnya'), ('draksistemnya', 'rangin'), ('rangin', 'sya'), ('sya', 'selalu'), ('selalu', 'tolol'), ('tolol', 'tb'), ('tb', 'lag'), ('lag', 'pdhl'), ('pdhl', 'lag'), ('lag', 'mohon'), ('mohon', 'muntun'), ('muntun', 'rangin'), ('rangin', 'tolol'), ('tolol', 'hehh')]"
"['wins', 'treak']","[('wins', 'treak')]"
"['bingung', 'saran', 'bawah', 'umur']","[('bingung', 'saran'), ('saran', 'bawah'), ('bawah', 'umur')]"
['hibur'],[]
"['jngn', 'rusak', 'sinyal', 'parah']","[('jngn', 'rusak'), ('rusak', 'sinyal'), ('sinyal', 'parah')]"
"['najis', 'kalah']","[('najis', 'kalah')]"
"['busuk', 'skin', 'makin', 'banyak', 'kualitas', 'turun', 'benar', 'ingame', 'stuck', 'gerak', 'sinyal', 'hijau']","[('busuk', 'skin'), ('skin', 'makin'), ('makin', 'banyak'), ('banyak', 'kualitas'), ('kualitas', 'turun'), ('turun', 'benar'), ('benar', 'ingame'), ('ingame', 'stuck'), ('stuck', 'gerak'), ('gerak', 'sinyal'), ('sinyal', 'hijau')]"
"['gubluk', 'lolot', 'dev', 'kikir', 'cuma', 'mikirin', 'uang', 'uang', 'melulu', 'collab', 'melulu', 'benar', 'mai', 'skill', 'warrior', 'sia', 'sia', 'ranked', 'asu', 'tolong', 'tingkat', 'jgn', 'notice', 'uang', 'pernah', 'urus', 'sudah', 'gitu', 'troll', 'biasa', 'kena', 'hukum', 'ban']","[('gubluk', 'lolot'), ('lolot', 'dev'), ('dev', 'kikir'), ('kikir', 'cuma'), ('cuma', 'mikirin'), ('mikirin', 'uang'), ('uang', 'uang'), ('uang', 'melulu'), ('melulu', 'collab'), ('collab', 'melulu'), ('melulu', 'benar'), ('benar', 'mai'), ('mai', 'skill'), ('skill', 'warrior'), ('warrior', 'sia'), ('sia', 'sia'), ('sia', 'ranked'), ('ranked', 'asu'), ('asu', 'tolong'), ('tolong', 'tingkat'), ('tingkat', 'jgn'), ('jgn', 'notice'), ('notice', 'uang'), ('uang', 'pernah'), ('pernah', 'urus'), ('urus', 'sudah'), ('sudah', 'gitu'), ('gitu', 'troll'), ('troll', 'biasa'), ('biasa', 'kena'), ('kena', 'hukum'), ('hukum', 'ban')]"
"['we', 'pontoon', 'jago', 'kasi', 'jago', 'donk']","[('we', 'pontoon'), ('pontoon', 'jago'), ('jago', 'kasi'), ('kasi', 'jago'), ('jago', 'donk')]"
"['kenapa', 'woy', 'sinyal', 'hijau', 'ping', 'ms', 'sambung', 'perangkat', 'babi', 'update', 'gagal', 'palah', 'rilis', 'tolol']","[('kenapa', 'woy'), ('woy', 'sinyal'), ('sinyal', 'hijau'), ('hijau', 'ping'), ('ping', 'ms'), ('ms', 'sambung'), ('sambung', 'perangkat'), ('perangkat', 'babi'), ('babi', 'update'), ('update', 'gagal'), ('gagal', 'palah'), ('palah', 'rilis'), ('rilis', 'tolol')]"
['senang'],[]
"['oke', 'tolong', 'banget', 'beri', 'musuh', 'bukan', 'ketemu', 'musuh', 'duo', 'trio', 'benar', 'benar', 'susah', 'tolong', 'banget', 'baru', 'terimakasih']","[('oke', 'tolong'), ('tolong', 'banget'), ('banget', 'beri'), ('beri', 'musuh'), ('musuh', 'bukan'), ('bukan', 'ketemu'), ('ketemu', 'musuh'), ('musuh', 'duo'), ('duo', 'trio'), ('trio', 'benar'), ('benar', 'benar'), ('benar', 'susah'), ('susah', 'tolong'), ('tolong', 'banget'), ('banget', 'baru'), ('baru', 'terimakasih')]"
